Region,Basin,LayerName,MonthlyMeanRainfall,LayerDate,Year,Month,Fyear,AnnualMeanRainfall,AnnualLtm,monthly_ltm,MonthlyMeanRainfallPercentileRank,AnnualMeanRainfallPercentileRank,annual_anomaly,monthly_anomaly,annual_percentage_of_ltm,monthly_percentage_of_ltm
Burdekin,Burdekin,n3_rainfall_955,5,1990-07-31,1990,Jul,1991,881,628,18,47,84,253,-13,140.3,27.8
Burdekin,Burdekin,n3_rainfall_956,0,1990-08-31,1990,Aug,1991,881,628,14,0,84,253,-14,140.3,0
Burdekin,Burdekin,n3_rainfall_957,1,1990-09-30,1990,Sep,1991,881,628,12,23,84,253,-11,140.3,8.3
Burdekin,Burdekin,n3_rainfall_958,11,1990-10-31,1990,Oct,1991,881,628,24,27,84,253,-13,140.3,45.8
Burdekin,Burdekin,n3_rainfall_959,7,1990-11-30,1990,Nov,1991,881,628,52,7,84,253,-45,140.3,13.5
Burdekin,Burdekin,n3_rainfall_960,159,1990-12-31,1990,Dec,1991,881,628,83,93,84,253,76,140.3,191.6
Burdekin,Burdekin,n3_rainfall_961,334,1991-01-31,1991,Jan,1991,881,628,138,100,84,253,196,140.3,242
Burdekin,Burdekin,n3_rainfall_962,325,1991-02-28,1991,Feb,1991,881,628,142,100,84,253,183,140.3,228.9
Burdekin,Burdekin,n3_rainfall_963,9,1991-03-31,1991,Mar,1991,881,628,70,3,84,253,-61,140.3,12.9
Burdekin,Burdekin,n3_rainfall_964,7,1991-04-30,1991,Apr,1991,881,628,29,27,84,253,-22,140.3,24.1
Burdekin,Burdekin,n3_rainfall_965,20,1991-05-31,1991,May,1991,881,628,22,63,84,253,-2,140.3,90.9
Burdekin,Burdekin,n3_rainfall_966,3,1991-06-30,1991,Jun,1991,881,628,23,13,84,253,-20,140.3,13
Burdekin,Burdekin,n3_rainfall_967,11,1991-07-31,1991,Jul,1992,388,628,18,67,6,-240,-7,61.8,61.1
Burdekin,Burdekin,n3_rainfall_968,1,1991-08-31,1991,Aug,1992,388,628,14,20,6,-240,-13,61.8,7.1
Burdekin,Burdekin,n3_rainfall_969,0,1991-09-30,1991,Sep,1992,388,628,12,0,6,-240,-12,61.8,0
Burdekin,Burdekin,n3_rainfall_970,7,1991-10-31,1991,Oct,1992,388,628,24,17,6,-240,-17,61.8,29.2
Burdekin,Burdekin,n3_rainfall_971,39,1991-11-30,1991,Nov,1992,388,628,52,63,6,-240,-13,61.8,75
Burdekin,Burdekin,n3_rainfall_972,85,1991-12-31,1991,Dec,1992,388,628,83,60,6,-240,2,61.8,102.4
Burdekin,Burdekin,n3_rainfall_973,45,1992-01-31,1992,Jan,1992,388,628,138,3,6,-240,-93,61.8,32.6
Burdekin,Burdekin,n3_rainfall_974,119,1992-02-29,1992,Feb,1992,388,628,142,50,6,-240,-23,61.8,83.8
Burdekin,Burdekin,n3_rainfall_975,7,1992-03-31,1992,Mar,1992,388,628,70,0,6,-240,-63,61.8,10
Burdekin,Burdekin,n3_rainfall_976,15,1992-04-30,1992,Apr,1992,388,628,29,50,6,-240,-14,61.8,51.7
Burdekin,Burdekin,n3_rainfall_977,52,1992-05-31,1992,May,1992,388,628,22,83,6,-240,30,61.8,236.4
Burdekin,Burdekin,n3_rainfall_978,7,1992-06-30,1992,Jun,1992,388,628,23,40,6,-240,-16,61.8,30.4
Burdekin,Burdekin,n3_rainfall_979,1,1992-07-31,1992,Jul,1993,270,628,18,7,0,-358,-17,43,5.6
Burdekin,Burdekin,n3_rainfall_980,7,1992-08-31,1992,Aug,1993,270,628,14,57,0,-358,-7,43,50
Burdekin,Burdekin,n3_rainfall_981,18,1992-09-30,1992,Sep,1993,270,628,12,77,0,-358,6,43,150
Burdekin,Burdekin,n3_rainfall_982,6,1992-10-31,1992,Oct,1993,270,628,24,13,0,-358,-18,43,25
