unique_holders
$UCCESS PTY LTD
ACAPULCO MINING PTY LTD
ACCESS AUSTRALIA MINING PTY LTD
ACTIVEX CANNING PTY LTD
Adan Paul Doss
ADANI MINING PTY LTD
Adbri Masonry Pty Ltd
ADELAIDE EXPLORATION PTY LTD
AIRLIE ENERGY PTY LTD
ALAGROW PTY. LIMITED
ALIMB PTY. LIMITED
Allan Ralph Gilliland
ALPHA RESOURCES PTY. LIMITED
ALPHADALE PTY. LIMITED
AMCI (ALPHA) PTY LTD
Andrew Flynn
ANGLOGOLD ASHANTI AUSTRALIA LIMITED
Anthony S Murray
Antoni Brinner
AURORA METALS LIMITED
AURUM AU PTY LTD
AUSTRAL DUTCH KAOLIN LIMITED
AUSTRAL MASONRY (QLD) PTY LTD
Australian Gold Fields NL
Axis Minerals Pty Ltd
BACK STEP INVESTMENTS PTY LTD
BALLYMORE RESOURCES LIMITED
Barcaldine Regional Council
Barlyne Mining Pty Ltd
Barro Group Pty. Ltd.
BEDROCK LANDSCAPE SUPPLIES TOWNSVILLE PTY LTD
BGM INVESTMENTS PTY LTD
BHP COAL PTY LTD
Bill Tudehope
Black Star Petroleum Limited
Blackall-Tambo Regional Council
Blackbond Pty Ltd
BLACKRIDGE EXPLORATION PTY LTD
BLACKWOOD COAL PTY LTD
BLACKWOOD EXPLORATION PTY LTD
Blair Angus
BLUE ENERGY LIMITED
BOADICEA RESOURCES LTD
BORAL RESOURCES (QLD) PTY. LIMITED
BOWEN RIVER COAL PTY LTD
Brian Malcolm Connolly
BRIGALOW MINING GROUP PTY LTD
BROTHERS MINING PTY. LTD.
Broughton Minerals Pty Ltd
Bruce Hallt
Bruce Mitchelson
Bullseye Gold Pty Ltd
BURDEKIN SHIRE COUNCIL
Burdekin Transport Services Pty Ltd
BYERWEN COAL PTY LTD
Cameron Farrell
CARBINE HOLDINGS PTY. LTD.
CENTRAL HIGHLANDS REGIONAL COUNCIL
Central West Hospital and Health Service
CENTURION COAL MINING PTY LTD
CH4 PTY LTD
CHALCOPHILE RESOURCES PTY. LTD.
Charters Towers Regional Council
CITIGOLD CORPORATION LIMITED
Clearview Mining Pty Ltd
CLERMONT RESOURCES & MINING SERVICES PTY LTD
CLYDE PARK COAL PTY LTD
COKING COAL ONE PTY LTD
Colevale Estates Pty Ltd
Colin Barry Robertson
COMET RIDGE GALILEE PTY LTD
CONQUEST EXPLORATION PTY LTD
Coolgarra Minerals Pty Ltd
CQ22 PTY LTD
Crystal Oak Gold Pty Ltd
"CZISLOWSKI, PAUL"
DA & FJ Camm Pty Ltd
David Cox
David John NICHOLAS
DEMETALLICA GOLD MINES PTY LTD
DEMETALLICA OPERATIONS PTY LTD
DENJIM PTY LTD
Dennis Plant
Department of Transport and Main Roads
DIAMOND CREEK COAL PTY LTD
DIFS INTERNATIONAL PTY LTD
Dimitrios Papadimitriou
Dion Lee Palbas
ECL DALBY PTY LTD
ELECTRIC FUTURE MINERALS PTY LTD
ELLENKAY GOLD PTY LTD
ENERGY MINERALS PTY. LTD.
ENPC Quarries Pty Ltd
ENTEE MINING PTY LTD
Ernest Slater
Eureka Petroleum Pty Ltd
EVERGRANDAS PTY LTD
FAIRWAY COAL PTY LTD
FAR EAST GOLD (212) PTY LTD
FAR EAST GOLD (BGC) PTY LTD
FITZROY (CQ) PTY LTD
FLINDERS SHIRE COUNCIL
FLM RESOURCES PTY LTD
FMG RESOURCES PTY LTD
FORTIFIED GOLD PTY LTD
FULTON HOGAN INDUSTRIES PTY LTD
Gail Elizabeth Thiele
Gary Anthony House
GBM RESOURCES LIMITED
GDR RESOURCES PTY LTD
Geoffrey Starr
Gerald David Skilton
Gerard Christopher Blum
GLENCORE COAL PROJECTS PTY LIMITED
GMX METALS PTY LIMITED
GOLD ALPHA INVESTMENTS PTY LTD
GOLDEN ANT MINING PTY LTD
GOODLAND MINING PTY LTD
Gordon Spreadborough
Graham Cole
GRAHAM EXPLORATION PTY LTD
Graham John Gordon
Graham Walter Franks
GREAT MINES PTY LTD
GREAT SOUTHERN MINING LIMITED
GREENVALE SILICON PTY LTD
Greg McCahill Earthworks & Haulage Pty Ltd
Gromac Quarries (NQ) Pty Ltd
HAIL CREEK COAL HOLDINGS PTY LIMITED
Hancock Coal Pty Ltd
HANCOCK GALILEE PTY LTD
Hancock Kevin's Corner Pty Ltd
HANNIGAN & ASSOCIATES PTY. LIMITED
HANSON CONSTRUCTION MATERIALS PTY LTD
HARD ROCK EARTHWORKS PTY LTD
HB BASE METALS PTY LTD
HOLCIM (AUSTRALIA) PTY LTD
HUMPHRIES PTY LTD
HY-TEC INDUSTRIES (QUEENSLAND) PTY LTD
I.M. GRAZING PTY LTD
Ian Russell
ICU AUSTRALIA PTY LTD
INCA MINERALS LIMITED
INTERGROUP MINING LIMITED
ISAAC REGIONAL COUNCIL
Ivan Curtis
Jackson Hill
JARICK BUSINESS SOLUTIONS PTY LTD
JAX COAL PTY LTD
Jill Thomasson
Jodo Gold Pty Ltd
JOHNSON HI-TECH (AUSTRALIA) PTY. LTD.
Kelmas Pty Ltd
KITCHENER MINING NO LIABILITY
KJ & AJ Sheahan Investments Pty Ltd
KYYNUNA MINERALS PTY LTD
LAURA EXPLORATION PTY LTD
Laurence Andrew Heilbronn
LD & LJ HILLERY PTY LIMITED
LIBERATION RESOURCES PTY LTD
Lloyd Anderson
Lloyd William Vivian
Lower Burdekin Water
LUX EXPLORATION PTY LTD
Lyndel Isabel Owens
Mackay Regional Council
MACMINES AUSTASIA PTY LTD
MACMINES NORTH PTY LTD
MAINSCARF PTY LTD
MANAGEMENT X PTY LTD
Maritime Academy Australasia No 1 Pty Ltd
Mark Andrew Roche
MAROON GOLD PTY LTD
MATILDA COAL PTY LTD
MAYFAIR CORPORATIONS GROUP PTY LTD
MAYFAIR ENERGY PTY LTD
MCCAHILL'S EARTHMOVING & SUPPLIES PTY. LTD.
MCCAHILL BROS (TOWNSVILLE) PTY LTD
Mentach Resources Pty Ltd
METALS & MINING PTY LTD
Michael Horman Transport Pty Ltd
MOGGIE MINING PTY LTD
MOUNTAINBLUE MINERAL PTY LTD
MT COOLON GOLD MINES PTY LTD
MT ROSEY MINING COMPANY PTY LTD
MT. MOSS MINING PTY LTD
Mulgowie Fresh Pty Ltd
NAVARRE MINERALS QUEENSLAND PTY LTD
NC COAL COMPANY PTY LIMITED
Neale & Lynette Griggs
Nedex Pty Ltd
NEW EMERALD ENERGY PTY LIMITED
NEW LENTON COAL PTY LTD
Newmont Landco Pty Ltd
Norman Graham Haines
NORTH QUEENSLAND LIME PTY LTD
NORTH QUEENSLAND NATURAL RESOURCE HOLDINGS PTY LTD
NORTH QUEENSLAND PIPELINE NO 1 PTY LTD
NORTH QUEENSLAND SOIL SUPPLIES PTY LTD
NORTHERN EXPLORATION PTY LTD
NORTHERN HUB (DRAKE) PTY LTD
NORTHX PTY LTD
NQ AUDITING PTY LTD
NQ EX PTY LTD
NQ MARBLE PTY LTD
NQM GOLD 2 PTY LTD
Oresome Resources Pty Ltd
OREZONE HOLDINGS PTY LTD
ORION MINING PTY LTD
Pacific Reef Fisheries (Australia) Pty Ltd
Patrick Jones (Jnr)
Paul Szabo
PEABODY WEST BURTON PTY LTD
PELICAN CREEK COAL PTY LTD
Peter Alan Moore
PETER CAMPBELL EARTHMOVING PTY LTD
Peter Harvey
Peter Vincent Shevill
Peter Wayne Hadden
Phillip Langley
PICCADILLY GOLD MINE HOLDINGS LIMITED
Pinnacle Gold Pty Ltd
PLENTYGOLD MICLERE PTY LTD
PLUM EXPLORATION PTY LTD
PLUTONIC LIMITED
QCOAL SONOMA PTY LTD
QPM ENERGY PTY LTD
QRDBD DEVELOPMENTS PTY LTD
Quarrico Products Pty Ltd
QUEENSLAND COAL EXPLORATION PTY. LTD.
QUEENSLAND COKING COAL PTY LTD
Queensland Gold Investments Limited
QUEENSLAND PACIFIC METALS LIMITED
Queensland Thermal Coal Pty Ltd
RAVENSWOOD GOLD PTY LTD
Red888 Pty Ltd
Regina Starr
RESOLVE COAL PTY LTD
ROCK SOLID HOLDINGS QLD PTY LTD
ROCKLAND MINERALS PTY LTD
Ronald Goldberry
ROSELLA CREEK COAL PTY LTD
Ross Pearl
ROX 1 PTY LTD
RPD TSV Pty Ltd
Russell Ross Wilkins
S CRANK 9 PTY LTD
Sardine Tin Pty Ltd
SAWELLS PTY LIMITED
SCONI MINING OPERATIONS PTY LTD
Scorpion Energy Pty Ltd
SEARLES TRANSPORT PTY LTD
Sharyn Slater
Simon Eddy
SKYFALL RESOURCES PTY LTD
Slade Garland
SOLOMONS GOLD PTY LTD
SOUTHERN GREEN GAS LIMITED
SPINIFEX RURAL MANAGEMENT PTY LTD
STANMORE SMC PTY LTD
STRAITS GOLD PTY LTD
STURT EXPLORATION AND MINING PTY LTD
SUCCESS GOLD PTY LTD
SUNSHINE (RAVENSWOOD) PTY LTD
SUNSHINE (TRIUMPH) PTY LTD
SUNWATER LIMITED
SUPERIOR RESOURCES LIMITED
SURVEYOR MINING PTY LTD
SWANSANDS PTY LTD
SYDNEY ALFRED PTY LTD
Symbolic Resources Pty Ltd
T Mining Services Pty Ltd
Tangawa Gold Pty Ltd
TARAGON VALLEY PTY LIMITED
Terence John Burt
THALANGA COPPER MINES PTY LTD
THE AUSTRALIAN INSTITUTE OF MARINE SCIENCE
THE PASSAGE HOLDINGS PTY LTD (in Liquidation)
Timothy Francis Pyke
TINSAN PTY. LIMITED
Tomasz Skrzypczynski
TOOMBAX PTY LTD
TOWNSVILLE CITY COUNCIL
Trevor Lawrence Harvey
Trevor Torkington
TRI-STAR GOLD PTY LTD
ULARA RESOURCES PTY LTD
UMACO AUSTRALIA PTY LTD
VITRINITE PTY LTD
VM1 PTY LTD
WARATAH COAL PTY LTD
Wayne MacPherson
Wayne Nelson Mains
WEALTH MINING PTY LTD (Subject to DOCA)
Whitsunday Regional Council
WILKINS FAMILY PTY LTD
WILMAR SUGAR PTY LTD
Wirralie Mines Pty Ltd
WISHBONE GOLD PTY LTD
Witham Grader Services Pty Ltd
YACIMIENTO PTY LIMITED
Yvonne Christine Palmer
ZAMIA RESOURCES PTY LIMITED
Zeolite Australia Pty Limited
ZINABACK PTY. LTD.
ZWAAR RESOURCES PTY LTD
