Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,Turbidity,High_DO,Low_DO,TP,FRP,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,High_DO_Grade,Low_DO_Grade,TP_Grade,FRP_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Black,Rollingstone Creek,Leichhardt Creek,145,0.2148148148148148,90,68.21045710003746,90,62.29672546857772,90,90,90,62.29672546857772,65.25359128430759,77.6267956421538,19.333333333333332,19.333333333333332,19.333333333333332,13.38225954510188,19.333333333333332,14.652616710378416,19.333333333333332,14.017438127740148,16.67538573053674,A,B,A,A,A,B,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Saltwater Creek,145,0.2148148148148148,90,57.794099999999986,90,90,90,90,90,90,73.89705,81.94852499999999,19.333333333333332,19.333333333333332,19.333333333333332,19.333333333333332,19.333333333333332,12.415028888888884,19.333333333333332,15.874181111111108,17.603757222222217,A,A,A,A,A,A,B,A,E,E,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,Rollingstone Creek,145,0.2148148148148148,61.089999999999996,90,90,51.156000000000034,90,90,75.545,51.156000000000034,70.57800000000002,73.06150000000001,13.123037037037035,19.333333333333332,19.333333333333332,10.989066666666673,19.333333333333332,19.333333333333332,16.228185185185183,15.161200000000003,15.694692592592594,A,C,A,A,B,C,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Ollera Creek,116,0.17185185185185184,90,90,90,0,90,90,90,0,45,67.5,15.466666666666665,15.466666666666665,15.466666666666665,0,15.466666666666665,15.466666666666665,15.466666666666665,7.7333333333333325,11.6,A,E,A,A,A,E,C,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,Crystal Creek,116,0.17185185185185184,90,90,90,90,90,90,90,90,90,90,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,15.466666666666665,A,A,A,A,A,A,A,A,E,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,Paluma Lake,2,0.00296296296296296,35.52500000000002,90,90,52.929772793704664,90,NA,62.76250000000001,52.929772793704664,71.46488639685234,67.11369319842618,0.10525925925925922,NA,0.26666666666666644,0.15682895642579145,0.26666666666666644,0.26666666666666644,0.18596296296296283,0.21174781154622896,0.1988553872545959,A,C,A,NA,B,C,B,B,E,NA,E,E,E,E,E,E,E
DT,Ross,Upper Ross River,NA,458,0.32,90,90,90,90,73.03,NA,81.515,NA,90,85.7575,28.8,NA,28.8,28.8,23.369600000000002,28.8,26.0848,28.8,27.4424,A,A,B,NA,A,NA,A,A,D,NA,D,D,D,D,D,D,D
DT,Ross,Lower Ross River,NA,786,0.56,61.753961819973995,90,90,53.017970809221126,90,90,66.20377663478881,NA,71.50898540461056,68.85638101969968,34.58221861918544,50.400000000000006,50.400000000000006,29.690063653163833,50.400000000000006,50.400000000000006,37.074114915481736,40.04503182658191,38.559573371031824,A,C,A,A,B,NA,B,B,D,C,C,D,C,C,D,D,D
DT,Ross,Bohle River,NA,169,0.12,0,63.00098223615464,90,25.050200000000007,0,NA,0,NA,44.02559111807733,22.012795559038665,0,NA,10.799999999999999,3.006024000000001,0,7.560117868338557,0,5.283070934169279,2.6415354670846396,A,D,E,NA,E,NA,C,D,E,NA,E,E,E,E,E,E,E
DT,Black,Black River,NA,250,0.37,63.72734939759036,72.13563803543394,64.89512611879576,90,39.584999999999994,90,51.656174698795176,NA,68.51538207711485,60.08577838795502,23.579119277108433,33.3,24.01119666395443,33.3,14.646449999999998,26.69018607311056,19.112784638554214,25.350691368532495,22.231738003543356,B,A,D,A,C,NA,B,C,D,D,D,D,E,D,E,D,D
DT,Black,Bluewater Creek,NA,162,0.24,84.46968253968254,28.00755865739735,77.18733333333334,75.0798451273302,61.981111111111105,90,73.22539682539681,NA,45.13736855903044,59.18138269221363,20.272723809523807,21.599999999999998,18.52496,18.01916283055925,14.875466666666664,6.721814077775364,17.574095238095236,10.832968454167306,14.203531846131272,B,B,B,A,B,NA,C,C,E,D,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,NA,145,0.2148148148148148,80.36333333333333,72.00151903334582,90,67.81757515619259,90,90,85.18166666666667,NA,69.9095470947692,77.54560688071793,17.263234567901232,19.333333333333332,19.333333333333332,14.568219848367296,19.333333333333332,15.466992977533543,18.298283950617282,15.017606412950418,16.657945181783848,A,B,A,A,A,NA,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,NA,116,0.17185185185185184,90,90,90,45,90,90,90,NA,67.5,78.75,15.466666666666665,15.466666666666665,15.466666666666665,7.7333333333333325,15.466666666666665,15.466666666666665,15.466666666666665,11.6,13.533333333333331,A,C,A,A,A,NA,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,NA,2,0.00296296296296296,35.52500000000002,90,90,52.929772793704664,90,NA,62.76250000000001,NA,71.46488639685234,67.11369319842618,0.10525925925925922,NA,0.26666666666666644,0.15682895642579145,0.26666666666666644,0.26666666666666644,0.18596296296296283,0.21174781154622896,0.1988553872545959,A,C,A,NA,B,NA,B,B,E,NA,E,E,E,E,E,E,E
DT,Ross,NA,NA,1413,NA,45.876980909987,81.00032741205155,90,49.85905207127723,40.7575,90,46.68772165072774,NA,65.42968974166439,56.058705696196064,63.38221861918544,50.400000000000006,90,61.49608765316383,73.76960000000001,86.76011786833857,63.15891491548174,74.12810276075119,68.64350883811646,A,C,D,A,C,NA,B,C,B,C,A,B,B,A,B,B,B
DT,Black,NA,NA,675,NA,77.3751397016638,64.21628711076634,83.64571261187957,66.1622033644273,76.55283333333333,90,76.96398651749857,NA,62.01210154353661,69.48804403051759,76.68700358045939,89.69999999999999,77.60282333062109,73.77754496868566,64.58858333333333,64.6123264617528,70.63779345689636,63.01301404719645,66.8254037520464,A,B,B,A,B,NA,B,B,B,A,B,B,B,B,B,B,B
