"Time","120002D","",""
"and","140.00","",""
"Date","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Comments"
06:00:00 10/06/2024,      16.605,    130, 
07:00:00 10/06/2024,      16.443,    130, 
08:00:00 10/06/2024,      16.443,    130, 
09:00:00 10/06/2024,      16.389,    130, 
10:00:00 10/06/2024,      16.443,    130, 
11:00:00 10/06/2024,      16.551,    130, 
12:00:00 10/06/2024,      16.497,    130, 
13:00:00 10/06/2024,      16.605,    130, 
14:00:00 10/06/2024,      16.769,    130, 
15:00:00 10/06/2024,      16.660,    130, 
16:00:00 10/06/2024,      16.605,    130, 
17:00:00 10/06/2024,      16.605,    130, 
18:00:00 10/06/2024,      16.281,    130, 
19:00:00 10/06/2024,      16.281,    130, 
20:00:00 10/06/2024,      16.281,    130, 
21:00:00 10/06/2024,      16.281,    130, 
22:00:00 10/06/2024,      16.281,    130, 
23:00:00 10/06/2024,      16.389,    130, 
00:00:00 11/06/2024,      16.068,    130, 
01:00:00 11/06/2024,      16.121,    130, 
02:00:00 11/06/2024,      16.335,    130, 
03:00:00 11/06/2024,      16.228,    130, 
04:00:00 11/06/2024,      16.068,    130, 
05:00:00 11/06/2024,      16.068,    130, 
06:00:00 11/06/2024,      16.121,    130, 
07:00:00 11/06/2024,      16.228,    130, 
08:00:00 11/06/2024,      16.175,    130, 
09:00:00 11/06/2024,      16.228,    130, 
10:00:00 11/06/2024,      15.963,    130, 
11:00:00 11/06/2024,      16.015,    130, 
12:00:00 11/06/2024,      15.963,    130, 
13:00:00 11/06/2024,      16.228,    130, 
14:00:00 11/06/2024,      16.228,    130, 
15:00:00 11/06/2024,      16.335,    130, 
16:00:00 11/06/2024,      15.857,    130, 
17:00:00 11/06/2024,      15.857,    130, 
18:00:00 11/06/2024,      16.121,    130, 
19:00:00 11/06/2024,      15.857,    130, 
20:00:00 11/06/2024,      15.857,    130, 
21:00:00 11/06/2024,      15.805,    130, 
22:00:00 11/06/2024,      15.805,    130, 
23:00:00 11/06/2024,      15.753,    130, 
00:00:00 12/06/2024,      15.753,    130, 
01:00:00 12/06/2024,      15.805,    130, 
02:00:00 12/06/2024,      15.805,    130, 
03:00:00 12/06/2024,      15.753,    130, 
04:00:00 12/06/2024,      15.701,    130, 
05:00:00 12/06/2024,      15.753,    130, 
06:00:00 12/06/2024,      15.597,    130, 
07:00:00 12/06/2024,      15.649,    130, 
08:00:00 12/06/2024,      15.597,    130, 
09:00:00 12/06/2024,      15.597,    130, 
10:00:00 12/06/2024,      15.597,    130, 
11:00:00 12/06/2024,      15.701,    130, 
12:00:00 12/06/2024,      15.597,    130, 
13:00:00 12/06/2024,      15.442,    130, 
14:00:00 12/06/2024,      15.340,    130, 
15:00:00 12/06/2024,      15.597,    130, 
16:00:00 12/06/2024,      15.545,    130, 
17:00:00 12/06/2024,      15.340,    130, 
18:00:00 12/06/2024,      15.238,    130, 
19:00:00 12/06/2024,      15.187,    130, 
20:00:00 12/06/2024,      15.136,    130, 
21:00:00 12/06/2024,      15.086,    130, 
22:00:00 12/06/2024,      15.035,    130, 
23:00:00 12/06/2024,      15.035,    130, 
00:00:00 13/06/2024,      14.985,    130, 
01:00:00 13/06/2024,      14.985,    130, 
02:00:00 13/06/2024,      15.035,    130, 
03:00:00 13/06/2024,      14.985,    130, 
04:00:00 13/06/2024,      15.035,    130, 
05:00:00 13/06/2024,      15.086,    130, 
06:00:00 13/06/2024,      15.086,    130, 
07:00:00 13/06/2024,      14.835,    130, 
08:00:00 13/06/2024,      14.935,    130, 
09:00:00 13/06/2024,      14.985,    130, 
10:00:00 13/06/2024,      15.187,    130, 
11:00:00 13/06/2024,      14.935,    130, 
12:00:00 13/06/2024,      14.885,    130, 
13:00:00 13/06/2024,      14.835,    130, 
14:00:00 13/06/2024,      14.835,    130, 
15:00:00 13/06/2024,      14.885,    130, 
16:00:00 13/06/2024,      14.686,    130, 
17:00:00 13/06/2024,      14.736,    130, 
18:00:00 13/06/2024,      14.736,    130, 
19:00:00 13/06/2024,      14.686,    130, 
20:00:00 13/06/2024,      14.686,    130, 
21:00:00 13/06/2024,      14.588,    130, 
22:00:00 13/06/2024,      14.588,    130, 
23:00:00 13/06/2024,      14.686,    130, 
00:00:00 14/06/2024,      14.539,    130, 
01:00:00 14/06/2024,      14.441,    130, 
02:00:00 14/06/2024,      14.441,    130, 
03:00:00 14/06/2024,      14.441,    130, 
04:00:00 14/06/2024,      14.490,    130, 
05:00:00 14/06/2024,      14.392,    130, 
06:00:00 14/06/2024,      14.295,    130, 
07:00:00 14/06/2024,      14.344,    130, 
08:00:00 14/06/2024,      14.490,    130, 
09:00:00 14/06/2024,      14.344,    130, 
10:00:00 14/06/2024,      14.151,    130, 
11:00:00 14/06/2024,      14.441,    130, 
12:00:00 14/06/2024,      14.199,    130, 
13:00:00 14/06/2024,      14.055,    130, 
14:00:00 14/06/2024,      14.295,    130, 
15:00:00 14/06/2024,      14.151,    130, 
16:00:00 14/06/2024,      14.055,    130, 
17:00:00 14/06/2024,      14.295,    130, 
18:00:00 14/06/2024,      14.151,    130, 
19:00:00 14/06/2024,      14.247,    130, 
20:00:00 14/06/2024,      13.960,    130, 
21:00:00 14/06/2024,      14.055,    130, 
22:00:00 14/06/2024,      14.007,    130, 
23:00:00 14/06/2024,      13.960,    130, 
00:00:00 15/06/2024,      14.055,    130, 
01:00:00 15/06/2024,      13.771,    130, 
02:00:00 15/06/2024,      13.771,    130, 
03:00:00 15/06/2024,      13.771,    130, 
04:00:00 15/06/2024,      13.960,    130, 
05:00:00 15/06/2024,      13.960,    130, 
06:00:00 15/06/2024,      13.912,    130, 
07:00:00 15/06/2024,      13.960,    130, 
08:00:00 15/06/2024,      13.912,    130, 
09:00:00 15/06/2024,      13.912,    130, 
10:00:00 15/06/2024,      13.630,    130, 
11:00:00 15/06/2024,      13.771,    130, 
12:00:00 15/06/2024,      13.865,    130, 
13:00:00 15/06/2024,      13.818,    130, 
14:00:00 15/06/2024,      14.007,    130, 
15:00:00 15/06/2024,      13.865,    130, 
16:00:00 15/06/2024,      13.724,    130, 
17:00:00 15/06/2024,      13.960,    130, 
18:00:00 15/06/2024,      13.771,    130, 
19:00:00 15/06/2024,      13.865,    130, 
20:00:00 15/06/2024,      13.771,    130, 
21:00:00 15/06/2024,      13.677,    130, 
22:00:00 15/06/2024,      13.677,    130, 
23:00:00 15/06/2024,      13.584,    130, 
00:00:00 16/06/2024,      13.630,    130, 
01:00:00 16/06/2024,      13.445,    130, 
02:00:00 16/06/2024,      13.445,    130, 
03:00:00 16/06/2024,      13.491,    130, 
04:00:00 16/06/2024,      13.537,    130, 
05:00:00 16/06/2024,      13.353,    130, 
06:00:00 16/06/2024,      13.445,    130, 
07:00:00 16/06/2024,      13.491,    130, 
08:00:00 16/06/2024,      13.491,    130, 
09:00:00 16/06/2024,      13.307,    130, 
10:00:00 16/06/2024,      13.445,    130, 
11:00:00 16/06/2024,      13.630,    130, 
12:00:00 16/06/2024,      13.445,    130, 
13:00:00 16/06/2024,      13.491,    130, 
14:00:00 16/06/2024,      13.353,    130, 
15:00:00 16/06/2024,      13.445,    130, 
16:00:00 16/06/2024,      13.445,    130, 
17:00:00 16/06/2024,      13.216,    130, 
18:00:00 16/06/2024,      13.353,    130, 
19:00:00 16/06/2024,      13.353,    130, 
20:00:00 16/06/2024,      13.261,    130, 
21:00:00 16/06/2024,      13.125,    130, 
22:00:00 16/06/2024,      13.216,    130, 
23:00:00 16/06/2024,      13.080,    130, 
00:00:00 17/06/2024,      13.080,    130, 
01:00:00 17/06/2024,      13.125,    130, 
02:00:00 17/06/2024,      13.170,    130, 
03:00:00 17/06/2024,      13.170,    130, 
04:00:00 17/06/2024,      13.170,    130, 
05:00:00 17/06/2024,      13.170,    130, 
06:00:00 17/06/2024,      13.125,    130, 
07:00:00 17/06/2024,      13.080,    130, 
08:00:00 17/06/2024,      13.170,    130, 
09:00:00 17/06/2024,      13.080,    130, 
10:00:00 17/06/2024,      13.216,    130, 
11:00:00 17/06/2024,      13.261,    130, 
12:00:00 17/06/2024,      13.170,    130, 
13:00:00 17/06/2024,      13.080,    130, 
14:00:00 17/06/2024,      13.170,    130, 
15:00:00 17/06/2024,      13.080,    130, 
16:00:00 17/06/2024,      12.945,    130, 
17:00:00 17/06/2024,      12.900,    130, 
18:00:00 17/06/2024,      13.125,    130, 
19:00:00 17/06/2024,      12.945,    130, 
20:00:00 17/06/2024,      12.900,    130, 
21:00:00 17/06/2024,      12.990,    130, 
22:00:00 17/06/2024,      12.945,    130, 
23:00:00 17/06/2024,      12.678,    130, 
00:00:00 18/06/2024,      12.767,    130, 
01:00:00 18/06/2024,      12.856,    130, 
02:00:00 18/06/2024,      12.945,    130, 
03:00:00 18/06/2024,      12.990,    130, 
04:00:00 18/06/2024,      12.856,    130, 
05:00:00 18/06/2024,      12.722,    130, 
06:00:00 18/06/2024,      12.767,    130, 
07:00:00 18/06/2024,      12.811,    130, 
08:00:00 18/06/2024,      12.900,    130, 
09:00:00 18/06/2024,      12.634,    130, 
10:00:00 18/06/2024,      12.767,    130, 
11:00:00 18/06/2024,      12.945,    130, 
12:00:00 18/06/2024,      12.990,    130, 
13:00:00 18/06/2024,      12.722,    130, 
14:00:00 18/06/2024,      12.811,    130, 
15:00:00 18/06/2024,      12.856,    130, 
16:00:00 18/06/2024,      12.856,    130, 
17:00:00 18/06/2024,      12.811,    130, 
18:00:00 18/06/2024,      12.856,    130, 
19:00:00 18/06/2024,      12.900,    130, 
20:00:00 18/06/2024,      12.590,    130, 
21:00:00 18/06/2024,      12.590,    130, 
22:00:00 18/06/2024,      12.590,    130, 
23:00:00 18/06/2024,      12.547,    130, 
00:00:00 19/06/2024,      12.590,    130, 
01:00:00 19/06/2024,      12.634,    130, 
02:00:00 19/06/2024,      12.547,    130, 
03:00:00 19/06/2024,      12.547,    130, 
04:00:00 19/06/2024,      12.459,    130, 
05:00:00 19/06/2024,      12.416,    130, 
06:00:00 19/06/2024,      12.373,    130, 
07:00:00 19/06/2024,      12.330,    130, 
08:00:00 19/06/2024,      12.373,    130, 
09:00:00 19/06/2024,      12.373,    130, 
10:00:00 19/06/2024,      12.330,    130, 
11:00:00 19/06/2024,      12.330,    130, 
12:00:00 19/06/2024,      12.459,    130, 
13:00:00 19/06/2024,      12.547,    130, 
14:00:00 19/06/2024,      12.459,    130, 
15:00:00 19/06/2024,      12.459,    130, 
16:00:00 19/06/2024,      12.416,    130, 
17:00:00 19/06/2024,      12.373,    130, 
18:00:00 19/06/2024,      12.373,    130, 
19:00:00 19/06/2024,      12.373,    130, 
20:00:00 19/06/2024,      12.373,    130, 
21:00:00 19/06/2024,      12.547,    130, 
22:00:00 19/06/2024,      12.459,    130, 
23:00:00 19/06/2024,      12.330,    130, 
00:00:00 20/06/2024,      12.590,    130, 
01:00:00 20/06/2024,      12.373,    130, 
02:00:00 20/06/2024,      12.330,    130, 
03:00:00 20/06/2024,      12.459,    130, 
04:00:00 20/06/2024,      12.590,    130, 
05:00:00 20/06/2024,      12.547,    130, 
06:00:00 20/06/2024,      12.459,    130, 
07:00:00 20/06/2024,      12.287,    130, 
08:00:00 20/06/2024,      12.201,    130, 
09:00:00 20/06/2024,      12.287,    130, 
10:00:00 20/06/2024,      12.416,    130, 
11:00:00 20/06/2024,      12.244,    130, 
12:00:00 20/06/2024,      12.416,    130, 
13:00:00 20/06/2024,      12.373,    130, 
14:00:00 20/06/2024,      12.416,    130, 
15:00:00 20/06/2024,      12.373,    130, 
16:00:00 20/06/2024,      12.116,    130, 
17:00:00 20/06/2024,      12.244,    130, 
18:00:00 20/06/2024,      12.330,    130, 
19:00:00 20/06/2024,      12.287,    130, 
20:00:00 20/06/2024,      12.158,    130, 
21:00:00 20/06/2024,      12.244,    130, 
22:00:00 20/06/2024,      12.287,    130, 
23:00:00 20/06/2024,      12.201,    130, 
00:00:00 21/06/2024,      12.201,    130, 
01:00:00 21/06/2024,      12.287,    130, 
02:00:00 21/06/2024,      12.116,    130, 
03:00:00 21/06/2024,      12.116,    130, 
04:00:00 21/06/2024,      12.287,    130, 
05:00:00 21/06/2024,      12.330,    130, 
06:00:00 21/06/2024,      12.244,    130, 
07:00:00 21/06/2024,      12.244,    130, 
08:00:00 21/06/2024,      12.031,    130, 
09:00:00 21/06/2024,      12.158,    130, 
10:00:00 21/06/2024,      12.073,    130, 
11:00:00 21/06/2024,      12.201,    130, 
12:00:00 21/06/2024,      12.116,    130, 
13:00:00 21/06/2024,      11.988,    130, 
14:00:00 21/06/2024,      12.116,    130, 
15:00:00 21/06/2024,      11.904,    130, 
16:00:00 21/06/2024,      11.946,    130, 
17:00:00 21/06/2024,      11.946,    130, 
18:00:00 21/06/2024,      12.073,    130, 
19:00:00 21/06/2024,      11.988,    130, 
20:00:00 21/06/2024,      12.116,    130, 
21:00:00 21/06/2024,      11.946,    130, 
22:00:00 21/06/2024,      11.946,    130, 
23:00:00 21/06/2024,      12.116,    130, 
00:00:00 22/06/2024,      11.904,    130, 
01:00:00 22/06/2024,      11.946,    130, 
02:00:00 22/06/2024,      11.904,    130, 
03:00:00 22/06/2024,      11.988,    130, 
04:00:00 22/06/2024,      12.073,    130, 
05:00:00 22/06/2024,      11.862,    130, 
06:00:00 22/06/2024,      11.946,    130, 
07:00:00 22/06/2024,      11.946,    130, 
08:00:00 22/06/2024,      11.988,    130, 
09:00:00 22/06/2024,      12.073,    130, 
10:00:00 22/06/2024,      11.862,    130, 
11:00:00 22/06/2024,      11.988,    130, 
12:00:00 22/06/2024,      12.116,    130, 
13:00:00 22/06/2024,      12.116,    130, 
14:00:00 22/06/2024,      12.031,    130, 
15:00:00 22/06/2024,      11.988,    130, 
16:00:00 22/06/2024,      11.988,    130, 
17:00:00 22/06/2024,      11.946,    130, 
18:00:00 22/06/2024,      11.946,    130, 
19:00:00 22/06/2024,      11.904,    130, 
20:00:00 22/06/2024,      11.904,    130, 
21:00:00 22/06/2024,      11.862,    130, 
22:00:00 22/06/2024,      11.862,    130, 
23:00:00 22/06/2024,      11.862,    130, 
00:00:00 23/06/2024,      11.904,    130, 
01:00:00 23/06/2024,      11.862,    130, 
02:00:00 23/06/2024,      11.737,    130, 
03:00:00 23/06/2024,      11.779,    130, 
04:00:00 23/06/2024,      11.779,    130, 
05:00:00 23/06/2024,      11.779,    130, 
06:00:00 23/06/2024,      11.737,    130, 
07:00:00 23/06/2024,      11.779,    130, 
08:00:00 23/06/2024,      11.779,    130, 
09:00:00 23/06/2024,      11.821,    130, 
10:00:00 23/06/2024,      11.821,    130, 
11:00:00 23/06/2024,      11.904,    130, 
12:00:00 23/06/2024,      11.862,    130, 
13:00:00 23/06/2024,      11.946,    130, 
14:00:00 23/06/2024,      11.946,    130, 
15:00:00 23/06/2024,      11.655,    130, 
16:00:00 23/06/2024,      11.655,    130, 
17:00:00 23/06/2024,      11.655,    130, 
18:00:00 23/06/2024,      11.572,    130, 
19:00:00 23/06/2024,      11.572,    130, 
20:00:00 23/06/2024,      11.531,    130, 
21:00:00 23/06/2024,      11.491,    130, 
22:00:00 23/06/2024,      11.696,    130, 
23:00:00 23/06/2024,      11.737,    130, 
00:00:00 24/06/2024,      11.655,    130, 
01:00:00 24/06/2024,      11.655,    130, 
02:00:00 24/06/2024,      11.696,    130, 
03:00:00 24/06/2024,      11.696,    130, 
04:00:00 24/06/2024,      11.613,    130, 
05:00:00 24/06/2024,      11.531,    130, 
06:00:00 24/06/2024,      11.696,    130, 
07:00:00 24/06/2024,      11.655,    130, 
08:00:00 24/06/2024,      11.613,    130, 
09:00:00 24/06/2024,      11.491,    130, 
10:00:00 24/06/2024,      11.655,    130, 
11:00:00 24/06/2024,      11.450,    130, 
12:00:00 24/06/2024,      11.491,    130, 
13:00:00 24/06/2024,      11.409,    130, 
14:00:00 24/06/2024,      11.369,    130, 
15:00:00 24/06/2024,      11.369,    130, 
16:00:00 24/06/2024,      11.369,    130, 
17:00:00 24/06/2024,      11.572,    130, 
18:00:00 24/06/2024,      11.613,    130, 
19:00:00 24/06/2024,      11.572,    130, 
20:00:00 24/06/2024,      11.613,    130, 
21:00:00 24/06/2024,      11.531,    130, 
22:00:00 24/06/2024,      11.531,    130, 
23:00:00 24/06/2024,      11.450,    130, 
00:00:00 25/06/2024,      11.409,    130, 
01:00:00 25/06/2024,      11.655,    130, 
02:00:00 25/06/2024,      11.531,    130, 
03:00:00 25/06/2024,      11.572,    130, 
04:00:00 25/06/2024,      11.655,    130, 
05:00:00 25/06/2024,      11.409,    130, 
06:00:00 25/06/2024,      11.409,    130, 
07:00:00 25/06/2024,      11.491,    130, 
08:00:00 25/06/2024,      11.655,    130, 
09:00:00 25/06/2024,      11.491,    130, 
10:00:00 25/06/2024,      11.572,    130, 
11:00:00 25/06/2024,      11.369,    130, 
12:00:00 25/06/2024,      11.328,    130, 
13:00:00 25/06/2024,      11.409,    130, 
14:00:00 25/06/2024,      11.450,    130, 
14:27:00 25/06/2024,      11.369,    130, 
14:33:00 25/06/2024,      11.491,    130, 
15:00:00 25/06/2024,      11.696,    130, 
16:00:00 25/06/2024,      11.491,    130, 
17:00:00 25/06/2024,      11.491,    130, 
18:00:00 25/06/2024,      11.531,    130, 
19:00:00 25/06/2024,      11.572,    130, 
19:30:00 25/06/2024,      11.613,    130, 
20:00:00 25/06/2024,      11.862,    130, 
20:27:00 25/06/2024,      11.904,    130, 
20:29:00 25/06/2024,      11.821,    130, 
20:45:00 25/06/2024,      11.862,    130, 
21:00:00 25/06/2024,      11.904,    130, 
21:07:00 25/06/2024,      12.031,    130, 
22:00:00 25/06/2024,      12.073,    130, 
22:22:00 25/06/2024,      12.244,    130, 
23:00:00 25/06/2024,      12.116,    130, 
00:00:00 26/06/2024,      12.116,    130, 
01:00:00 26/06/2024,      12.073,    130, 
02:00:00 26/06/2024,      12.116,    130, 
03:00:00 26/06/2024,      12.201,    130, 
04:00:00 26/06/2024,      12.158,    130, 
05:00:00 26/06/2024,      12.244,    130, 
05:16:00 26/06/2024,      12.073,    130, 
06:00:00 26/06/2024,      12.201,    130, 
07:00:00 26/06/2024,      12.244,    130, 
08:00:00 26/06/2024,      12.287,    130, 
09:00:00 26/06/2024,      12.116,    130, 
10:00:00 26/06/2024,      12.073,    130, 
10:29:00 26/06/2024,      11.988,    130, 
11:00:00 26/06/2024,      12.073,    130, 
12:00:00 26/06/2024,      12.116,    130, 
13:00:00 26/06/2024,      11.988,    130, 
13:13:00 26/06/2024,      12.031,    130, 
14:00:00 26/06/2024,      12.073,    130, 
15:00:00 26/06/2024,      12.158,    130, 
15:46:00 26/06/2024,      12.116,    130, 
16:00:00 26/06/2024,      12.287,    130, 
17:00:00 26/06/2024,      12.158,    130, 
17:18:00 26/06/2024,      12.201,    130, 
17:44:00 26/06/2024,      12.373,    130, 
18:00:00 26/06/2024,      12.330,    130, 
19:00:00 26/06/2024,      12.503,    130, 
20:00:00 26/06/2024,      12.590,    130, 
21:00:00 26/06/2024,      12.634,    130, 
21:19:00 26/06/2024,      12.678,    130, 
22:00:00 26/06/2024,      12.722,    130, 
23:00:00 26/06/2024,      12.722,    130, 
00:00:00 27/06/2024,      12.811,    130, 
01:00:00 27/06/2024,      12.900,    130, 
01:48:00 27/06/2024,      12.945,    130, 
02:00:00 27/06/2024,      12.990,    130, 
03:00:00 27/06/2024,      13.125,    130, 
04:00:00 27/06/2024,      13.216,    130, 
04:04:00 27/06/2024,      13.080,    130, 
05:00:00 27/06/2024,      13.261,    130, 
06:00:00 27/06/2024,      13.307,    130, 
07:00:00 27/06/2024,      13.445,    130, 
08:00:00 27/06/2024,      13.584,    130, 
09:00:00 27/06/2024,      13.537,    130, 
10:00:00 27/06/2024,      13.445,    130, 
11:00:00 27/06/2024,      13.491,    130, 
12:00:00 27/06/2024,      13.537,    130, 
13:00:00 27/06/2024,      13.491,    130, 
14:00:00 27/06/2024,      13.537,    130, 
15:00:00 27/06/2024,      13.630,    130, 
16:00:00 27/06/2024,      13.537,    130, 
16:14:00 27/06/2024,      13.677,    130, 
17:00:00 27/06/2024,      13.491,    130, 
18:00:00 27/06/2024,      13.491,    130, 
19:00:00 27/06/2024,      13.353,    130, 
20:00:00 27/06/2024,      13.399,    130, 
21:00:00 27/06/2024,      13.353,    130, 
22:00:00 27/06/2024,      13.307,    130, 
23:00:00 27/06/2024,      13.035,    130, 
00:00:00 28/06/2024,      13.035,    130, 
01:00:00 28/06/2024,      12.990,    130, 
02:00:00 28/06/2024,      13.035,    130, 
03:00:00 28/06/2024,      12.990,    130, 
04:00:00 28/06/2024,      12.990,    130, 
05:00:00 28/06/2024,      13.035,    130, 
06:00:00 28/06/2024,      13.170,    130, 
07:00:00 28/06/2024,      13.216,    130, 
08:00:00 28/06/2024,      12.945,    130, 
09:00:00 28/06/2024,      12.990,    130, 
10:00:00 28/06/2024,      12.990,    130, 
11:00:00 28/06/2024,      13.035,    130, 
12:00:00 28/06/2024,      13.035,    130, 
13:00:00 28/06/2024,      12.990,    130, 
14:00:00 28/06/2024,      13.035,    130, 
15:00:00 28/06/2024,      12.856,    130, 
16:00:00 28/06/2024,      12.856,    130, 
17:00:00 28/06/2024,      12.856,    130, 
18:00:00 28/06/2024,      12.900,    130, 
19:00:00 28/06/2024,      12.990,    130, 
20:00:00 28/06/2024,      12.945,    130, 
21:00:00 28/06/2024,      13.035,    130, 
22:00:00 28/06/2024,      13.125,    130, 
23:00:00 28/06/2024,      12.900,    130, 
00:00:00 29/06/2024,      13.035,    130, 
01:00:00 29/06/2024,      13.125,    130, 
02:00:00 29/06/2024,      13.080,    130, 
03:00:00 29/06/2024,      13.080,    130, 
04:00:00 29/06/2024,      13.170,    130, 
05:00:00 29/06/2024,      13.307,    130, 
06:00:00 29/06/2024,      13.170,    130, 
07:00:00 29/06/2024,      13.170,    130, 
08:00:00 29/06/2024,      13.125,    130, 
09:00:00 29/06/2024,      13.216,    130, 
10:00:00 29/06/2024,      13.170,    130, 
11:00:00 29/06/2024,      13.353,    130, 
12:00:00 29/06/2024,      13.353,    130, 
13:00:00 29/06/2024,      13.307,    130, 
14:00:00 29/06/2024,      13.216,    130, 
15:00:00 29/06/2024,      13.307,    130, 
16:00:00 29/06/2024,      13.353,    130, 
17:00:00 29/06/2024,      13.216,    130, 
18:00:00 29/06/2024,      13.170,    130, 
19:00:00 29/06/2024,      13.125,    130, 
20:00:00 29/06/2024,      13.216,    130, 
21:00:00 29/06/2024,      13.216,    130, 
22:00:00 29/06/2024,      13.491,    130, 
23:00:00 29/06/2024,      13.399,    130, 
00:00:00 30/06/2024,      13.261,    130, 
01:00:00 30/06/2024,      13.584,    130, 
02:00:00 30/06/2024,      13.261,    130, 
03:00:00 30/06/2024,      13.307,    130, 
04:00:00 30/06/2024,      13.170,    130, 
05:00:00 30/06/2024,      13.170,    130, 
06:00:00 30/06/2024,      13.261,    130, 
07:00:00 30/06/2024,      13.035,    130, 
08:00:00 30/06/2024,      13.080,    130, 
09:00:00 30/06/2024,      13.261,    130, 
10:00:00 30/06/2024,      13.216,    130, 
11:00:00 30/06/2024,      13.307,    130, 
12:00:00 30/06/2024,      13.170,    130, 
13:00:00 30/06/2024,      13.080,    130, 
14:00:00 30/06/2024,      12.900,    130, 
15:00:00 30/06/2024,      13.080,    130, 
16:00:00 30/06/2024,      13.261,    130, 
17:00:00 30/06/2024,      13.125,    130, 
18:00:00 30/06/2024,      12.945,    130, 
19:00:00 30/06/2024,      13.170,    130, 
20:00:00 30/06/2024,      13.125,    130, 
21:00:00 30/06/2024,      13.080,    130, 
22:00:00 30/06/2024,      12.856,    130, 
23:00:00 30/06/2024,      13.035,    130, 
00:00:00 01/07/2024,      12.856,    130, 
01:00:00 01/07/2024,      12.990,    130, 
02:00:00 01/07/2024,      12.900,    130, 
03:00:00 01/07/2024,      12.990,    130, 
04:00:00 01/07/2024,      13.080,    130, 
05:00:00 01/07/2024,      13.125,    130, 
06:00:00 01/07/2024,      12.900,    130, 
07:00:00 01/07/2024,      12.945,    130, 
08:00:00 01/07/2024,      13.035,    130, 
09:00:00 01/07/2024,      13.170,    130, 
10:00:00 01/07/2024,      13.125,    130, 
11:00:00 01/07/2024,      13.216,    130, 
12:00:00 01/07/2024,      13.170,    130, 
13:00:00 01/07/2024,      13.261,    130, 
14:00:00 01/07/2024,      13.307,    130, 
15:00:00 01/07/2024,      13.445,    130, 
16:00:00 01/07/2024,      13.353,    130, 
17:00:00 01/07/2024,      13.445,    130, 
18:00:00 01/07/2024,      13.584,    130, 
19:00:00 01/07/2024,      13.724,    130, 
20:00:00 01/07/2024,      13.677,    130, 
21:00:00 01/07/2024,      13.771,    130, 
22:00:00 01/07/2024,      13.818,    130, 
23:00:00 01/07/2024,      14.007,    130, 
00:00:00 02/07/2024,      14.103,    130, 
01:00:00 02/07/2024,      14.199,    130, 
02:00:00 02/07/2024,      14.392,    130, 
03:00:00 02/07/2024,      14.835,    130, 
04:00:00 02/07/2024,      14.935,    130, 
05:00:00 02/07/2024,      15.238,    130, 
06:00:00 02/07/2024,      15.649,    130, 
07:00:00 02/07/2024,      15.597,    130, 
08:00:00 02/07/2024,      15.963,    130, 
09:00:00 02/07/2024,      16.121,    130, 
10:00:00 02/07/2024,      16.335,    130, 
11:00:00 02/07/2024,      16.879,    130, 
12:00:00 02/07/2024,      17.100,    130, 
13:00:00 02/07/2024,      17.212,    130, 
14:00:00 02/07/2024,      17.380,    130, 
15:00:00 02/07/2024,      17.721,    130, 
16:00:00 02/07/2024,      18.241,    130, 
16:40:00 02/07/2024,      17.778,    130, 
17:00:00 02/07/2024,      18.183,    130, 
17:05:00 02/07/2024,      17.550,    130, 
18:00:00 02/07/2024,      18.008,    130, 
18:30:00 02/07/2024,      17.778,    130, 
19:00:00 02/07/2024,      17.835,    130, 
20:00:00 02/07/2024,      18.066,    130, 
20:25:00 02/07/2024,      18.300,    130, 
21:00:00 02/07/2024,      18.417,    130, 
22:00:00 02/07/2024,      18.654,    130, 
23:00:00 02/07/2024,      18.595,    130, 
23:10:00 02/07/2024,      18.417,    130, 
23:30:00 02/07/2024,      18.535,    130, 
00:00:00 03/07/2024,      18.595,    130, 
00:55:00 03/07/2024,      18.535,    130, 
01:00:00 03/07/2024,      18.893,    130, 
01:05:00 03/07/2024,      19.502,    130, 
01:10:00 03/07/2024,      18.833,    130, 
01:35:00 03/07/2024,      18.654,    130, 
02:00:00 03/07/2024,      18.774,    130, 
02:15:00 03/07/2024,      18.535,    130, 
02:40:00 03/07/2024,      19.937,    130, 
02:45:00 03/07/2024,      18.833,    130, 
03:00:00 03/07/2024,      18.893,    130, 
04:00:00 03/07/2024,      19.196,    130, 
04:10:00 03/07/2024,      19.074,    130, 
04:30:00 03/07/2024,      19.196,    130, 
05:00:00 03/07/2024,      18.954,    130, 
06:00:00 03/07/2024,      19.379,    130, 
06:20:00 03/07/2024,      19.257,    130, 
06:50:00 03/07/2024,      19.318,    130, 
07:00:00 03/07/2024,      19.196,    130, 
08:00:00 03/07/2024,      19.502,    130, 
09:00:00 03/07/2024,      19.564,    130, 
09:40:00 03/07/2024,      19.564,    130, 
10:00:00 03/07/2024,      19.688,    130, 
11:00:00 03/07/2024,      19.626,    130, 
11:35:00 03/07/2024,      19.626,    130, 
12:00:00 03/07/2024,      19.875,    130, 
12:20:00 03/07/2024,      20.961,    130, 
12:25:00 03/07/2024,      19.812,    130, 
13:00:00 03/07/2024,      19.875,    130, 
13:30:00 03/07/2024,      19.564,    130, 
14:00:00 03/07/2024,      20.218,    130, 
14:30:00 03/07/2024,      19.812,    130, 
15:00:00 03/07/2024,      19.626,    130, 
16:00:00 03/07/2024,      20.145,    130, 
16:40:00 03/07/2024,      19.688,    130, 
17:00:00 03/07/2024,      19.937,    130, 
