"Time","120002D","",""
"and","140.00","",""
"Date","Discharge (Cumecs)","",""
"Date and time","Point","Quality","Comments"
03:00:00 22/05/2024,      22.752,    130, 
04:00:00 22/05/2024,      23.075,    130, 
05:00:00 22/05/2024,      23.075,    130, 
06:00:00 22/05/2024,      23.239,    130, 
07:00:00 22/05/2024,      23.239,    130, 
08:00:00 22/05/2024,      23.403,    130, 
09:00:00 22/05/2024,      23.734,    130, 
10:00:00 22/05/2024,      23.817,    130, 
11:00:00 22/05/2024,      24.153,    130, 
12:00:00 22/05/2024,      24.238,    130, 
13:00:00 22/05/2024,      24.323,    130, 
14:00:00 22/05/2024,      24.578,    130, 
15:00:00 22/05/2024,      24.664,    130, 
16:00:00 22/05/2024,      24.750,    130, 
17:00:00 22/05/2024,      24.923,    130, 
18:00:00 22/05/2024,      25.097,    130, 
19:00:00 22/05/2024,      25.271,    130, 
20:00:00 22/05/2024,      25.359,    130, 
21:00:00 22/05/2024,      25.713,    130, 
22:00:00 22/05/2024,      25.624,    130, 
23:00:00 22/05/2024,      26.070,    130, 
00:00:00 23/05/2024,      26.070,    130, 
01:00:00 23/05/2024,      26.160,    130, 
02:00:00 23/05/2024,      26.341,    130, 
03:00:00 23/05/2024,      26.070,    130, 
04:00:00 23/05/2024,      26.250,    130, 
05:00:00 23/05/2024,      26.431,    130, 
06:00:00 23/05/2024,      26.341,    130, 
07:00:00 23/05/2024,      26.341,    130, 
08:00:00 23/05/2024,      26.160,    130, 
09:00:00 23/05/2024,      26.160,    130, 
10:00:00 23/05/2024,      26.341,    130, 
11:00:00 23/05/2024,      26.341,    130, 
12:00:00 23/05/2024,      26.250,    130, 
13:00:00 23/05/2024,      26.070,    130, 
14:00:00 23/05/2024,      25.802,    130, 
15:00:00 23/05/2024,      25.891,    130, 
16:00:00 23/05/2024,      25.891,    130, 
17:00:00 23/05/2024,      25.713,    130, 
18:00:00 23/05/2024,      25.624,    130, 
19:00:00 23/05/2024,      25.891,    130, 
20:00:00 23/05/2024,      25.891,    130, 
21:00:00 23/05/2024,      25.802,    130, 
22:00:00 23/05/2024,      25.891,    130, 
23:00:00 23/05/2024,      25.891,    130, 
00:00:00 24/05/2024,      25.802,    130, 
01:00:00 24/05/2024,      25.713,    130, 
02:00:00 24/05/2024,      25.713,    130, 
03:00:00 24/05/2024,      25.624,    130, 
04:00:00 24/05/2024,      25.184,    130, 
05:00:00 24/05/2024,      25.359,    130, 
06:00:00 24/05/2024,      25.271,    130, 
07:00:00 24/05/2024,      25.010,    130, 
08:00:00 24/05/2024,      25.010,    130, 
09:00:00 24/05/2024,      24.837,    130, 
10:00:00 24/05/2024,      24.923,    130, 
11:00:00 24/05/2024,      24.923,    130, 
12:00:00 24/05/2024,      24.837,    130, 
13:00:00 24/05/2024,      24.493,    130, 
14:00:00 24/05/2024,      24.408,    130, 
15:00:00 24/05/2024,      24.408,    130, 
16:00:00 24/05/2024,      24.578,    130, 
17:00:00 24/05/2024,      24.153,    130, 
18:00:00 24/05/2024,      24.238,    130, 
19:00:00 24/05/2024,      24.069,    130, 
20:00:00 24/05/2024,      24.153,    130, 
21:00:00 24/05/2024,      24.153,    130, 
22:00:00 24/05/2024,      24.238,    130, 
23:00:00 24/05/2024,      24.153,    130, 
00:00:00 25/05/2024,      24.069,    130, 
01:00:00 25/05/2024,      24.069,    130, 
02:00:00 25/05/2024,      23.817,    130, 
03:00:00 25/05/2024,      23.734,    130, 
04:00:00 25/05/2024,      23.817,    130, 
05:00:00 25/05/2024,      23.568,    130, 
06:00:00 25/05/2024,      23.485,    130, 
07:00:00 25/05/2024,      23.157,    130, 
08:00:00 25/05/2024,      23.403,    130, 
09:00:00 25/05/2024,      23.239,    130, 
10:00:00 25/05/2024,      23.239,    130, 
11:00:00 25/05/2024,      23.075,    130, 
12:00:00 25/05/2024,      22.913,    130, 
13:00:00 25/05/2024,      22.752,    130, 
14:00:00 25/05/2024,      22.832,    130, 
15:00:00 25/05/2024,      22.832,    130, 
16:00:00 25/05/2024,      22.591,    130, 
17:00:00 25/05/2024,      22.752,    130, 
18:00:00 25/05/2024,      22.591,    130, 
19:00:00 25/05/2024,      22.352,    130, 
20:00:00 25/05/2024,      22.273,    130, 
21:00:00 25/05/2024,      22.352,    130, 
22:00:00 25/05/2024,      22.115,    130, 
23:00:00 25/05/2024,      22.037,    130, 
00:00:00 26/05/2024,      22.037,    130, 
01:00:00 26/05/2024,      21.958,    130, 
02:00:00 26/05/2024,      21.958,    130, 
03:00:00 26/05/2024,      21.880,    130, 
04:00:00 26/05/2024,      21.802,    130, 
05:00:00 26/05/2024,      21.570,    130, 
06:00:00 26/05/2024,      21.570,    130, 
07:00:00 26/05/2024,      21.416,    130, 
08:00:00 26/05/2024,      21.416,    130, 
09:00:00 26/05/2024,      21.340,    130, 
10:00:00 26/05/2024,      21.416,    130, 
11:00:00 26/05/2024,      21.188,    130, 
12:00:00 26/05/2024,      20.961,    130, 
13:00:00 26/05/2024,      21.036,    130, 
14:00:00 26/05/2024,      21.036,    130, 
15:00:00 26/05/2024,      20.961,    130, 
16:00:00 26/05/2024,      20.961,    130, 
17:00:00 26/05/2024,      20.811,    130, 
18:00:00 26/05/2024,      20.885,    130, 
19:00:00 26/05/2024,      20.811,    130, 
20:00:00 26/05/2024,      20.587,    130, 
21:00:00 26/05/2024,      20.513,    130, 
22:00:00 26/05/2024,      20.811,    130, 
23:00:00 26/05/2024,      20.439,    130, 
00:00:00 27/05/2024,      20.365,    130, 
01:00:00 27/05/2024,      20.439,    130, 
02:00:00 27/05/2024,      20.661,    130, 
03:00:00 27/05/2024,      20.513,    130, 
04:00:00 27/05/2024,      20.439,    130, 
05:00:00 27/05/2024,      20.218,    130, 
06:00:00 27/05/2024,      20.073,    130, 
07:00:00 27/05/2024,      20.218,    130, 
08:00:00 27/05/2024,      20.000,    130, 
09:00:00 27/05/2024,      20.000,    130, 
10:00:00 27/05/2024,      19.937,    130, 
11:00:00 27/05/2024,      20.145,    130, 
12:00:00 27/05/2024,      19.937,    130, 
13:00:00 27/05/2024,      20.073,    130, 
14:00:00 27/05/2024,      19.875,    130, 
15:00:00 27/05/2024,      19.937,    130, 
16:00:00 27/05/2024,      19.750,    130, 
17:00:00 27/05/2024,      19.688,    130, 
18:00:00 27/05/2024,      19.750,    130, 
19:00:00 27/05/2024,      19.750,    130, 
20:00:00 27/05/2024,      19.750,    130, 
21:00:00 27/05/2024,      19.626,    130, 
22:00:00 27/05/2024,      19.564,    130, 
23:00:00 27/05/2024,      19.688,    130, 
00:00:00 28/05/2024,      19.626,    130, 
01:00:00 28/05/2024,      19.564,    130, 
02:00:00 28/05/2024,      19.564,    130, 
03:00:00 28/05/2024,      19.441,    130, 
04:00:00 28/05/2024,      19.379,    130, 
05:00:00 28/05/2024,      19.257,    130, 
06:00:00 28/05/2024,      19.318,    130, 
07:00:00 28/05/2024,      19.318,    130, 
08:00:00 28/05/2024,      19.135,    130, 
09:00:00 28/05/2024,      19.318,    130, 
10:00:00 28/05/2024,      19.074,    130, 
11:00:00 28/05/2024,      19.135,    130, 
12:00:00 28/05/2024,      18.954,    130, 
13:00:00 28/05/2024,      19.074,    130, 
14:00:00 28/05/2024,      18.954,    130, 
15:00:00 28/05/2024,      18.833,    130, 
16:00:00 28/05/2024,      18.833,    130, 
17:00:00 28/05/2024,      18.893,    130, 
18:00:00 28/05/2024,      18.893,    130, 
19:00:00 28/05/2024,      18.774,    130, 
20:00:00 28/05/2024,      18.714,    130, 
21:00:00 28/05/2024,      18.833,    130, 
22:00:00 28/05/2024,      18.774,    130, 
23:00:00 28/05/2024,      18.714,    130, 
00:00:00 29/05/2024,      18.654,    130, 
01:00:00 29/05/2024,      18.714,    130, 
02:00:00 29/05/2024,      18.654,    130, 
03:00:00 29/05/2024,      18.535,    130, 
04:00:00 29/05/2024,      18.535,    130, 
05:00:00 29/05/2024,      18.476,    130, 
06:00:00 29/05/2024,      18.595,    130, 
07:00:00 29/05/2024,      18.476,    130, 
08:00:00 29/05/2024,      18.358,    130, 
09:00:00 29/05/2024,      18.241,    130, 
10:00:00 29/05/2024,      18.595,    130, 
11:00:00 29/05/2024,      18.358,    130, 
12:00:00 29/05/2024,      18.241,    130, 
13:00:00 29/05/2024,      18.241,    130, 
14:00:00 29/05/2024,      18.008,    130, 
15:00:00 29/05/2024,      18.008,    130, 
16:00:00 29/05/2024,      18.241,    130, 
17:00:00 29/05/2024,      18.300,    130, 
18:00:00 29/05/2024,      18.183,    130, 
19:00:00 29/05/2024,      18.358,    130, 
20:00:00 29/05/2024,      18.241,    130, 
21:00:00 29/05/2024,      17.950,    130, 
22:00:00 29/05/2024,      18.066,    130, 
23:00:00 29/05/2024,      17.893,    130, 
00:00:00 30/05/2024,      18.008,    130, 
01:00:00 30/05/2024,      17.893,    130, 
02:00:00 30/05/2024,      17.893,    130, 
03:00:00 30/05/2024,      17.835,    130, 
04:00:00 30/05/2024,      17.778,    130, 
05:00:00 30/05/2024,      17.950,    130, 
06:00:00 30/05/2024,      17.893,    130, 
07:00:00 30/05/2024,      17.663,    130, 
08:00:00 30/05/2024,      17.721,    130, 
09:00:00 30/05/2024,      17.663,    130, 
10:00:00 30/05/2024,      17.606,    130, 
11:00:00 30/05/2024,      17.550,    130, 
12:00:00 30/05/2024,      17.778,    130, 
13:00:00 30/05/2024,      17.380,    130, 
14:00:00 30/05/2024,      17.550,    130, 
15:00:00 30/05/2024,      17.493,    130, 
16:00:00 30/05/2024,      17.324,    130, 
17:00:00 30/05/2024,      17.324,    130, 
18:00:00 30/05/2024,      17.324,    130, 
19:00:00 30/05/2024,      17.380,    130, 
20:00:00 30/05/2024,      17.268,    130, 
21:00:00 30/05/2024,      17.212,    130, 
22:00:00 30/05/2024,      17.324,    130, 
23:00:00 30/05/2024,      17.324,    130, 
00:00:00 31/05/2024,      17.212,    130, 
01:00:00 31/05/2024,      17.324,    130, 
02:00:00 31/05/2024,      17.324,    130, 
03:00:00 31/05/2024,      17.324,    130, 
04:00:00 31/05/2024,      17.268,    130, 
05:00:00 31/05/2024,      17.212,    130, 
06:00:00 31/05/2024,      17.156,    130, 
07:00:00 31/05/2024,      17.100,    130, 
08:00:00 31/05/2024,      17.100,    130, 
09:00:00 31/05/2024,      17.100,    130, 
10:00:00 31/05/2024,      16.714,    130, 
11:00:00 31/05/2024,      16.879,    130, 
12:00:00 31/05/2024,      16.989,    130, 
13:00:00 31/05/2024,      16.934,    130, 
14:00:00 31/05/2024,      17.044,    130, 
15:00:00 31/05/2024,      17.100,    130, 
16:00:00 31/05/2024,      16.934,    130, 
17:00:00 31/05/2024,      16.989,    130, 
18:00:00 31/05/2024,      16.769,    130, 
19:00:00 31/05/2024,      16.879,    130, 
20:00:00 31/05/2024,      16.934,    130, 
21:00:00 31/05/2024,      17.044,    130, 
22:00:00 31/05/2024,      17.044,    130, 
23:00:00 31/05/2024,      16.714,    130, 
00:00:00 01/06/2024,      16.824,    130, 
01:00:00 01/06/2024,      16.769,    130, 
02:00:00 01/06/2024,      16.824,    130, 
03:00:00 01/06/2024,      16.714,    130, 
04:00:00 01/06/2024,      16.769,    130, 
05:00:00 01/06/2024,      16.714,    130, 
06:00:00 01/06/2024,      16.714,    130, 
07:00:00 01/06/2024,      16.714,    130, 
08:00:00 01/06/2024,      16.660,    130, 
09:00:00 01/06/2024,      16.714,    130, 
10:00:00 01/06/2024,      16.769,    130, 
11:00:00 01/06/2024,      16.769,    130, 
12:00:00 01/06/2024,      16.824,    130, 
13:00:00 01/06/2024,      16.824,    130, 
14:00:00 01/06/2024,      16.934,    130, 
15:00:00 01/06/2024,      16.879,    130, 
16:00:00 01/06/2024,      16.824,    130, 
17:00:00 01/06/2024,      16.769,    130, 
18:00:00 01/06/2024,      16.879,    130, 
19:00:00 01/06/2024,      16.879,    130, 
20:00:00 01/06/2024,      16.769,    130, 
21:00:00 01/06/2024,      16.714,    130, 
22:00:00 01/06/2024,      16.551,    130, 
23:00:00 01/06/2024,      16.443,    130, 
00:00:00 02/06/2024,      16.769,    130, 
01:00:00 02/06/2024,      16.605,    130, 
02:00:00 02/06/2024,      16.551,    130, 
03:00:00 02/06/2024,      16.605,    130, 
04:00:00 02/06/2024,      16.497,    130, 
05:00:00 02/06/2024,      16.389,    130, 
06:00:00 02/06/2024,      16.714,    130, 
07:00:00 02/06/2024,      16.605,    130, 
08:00:00 02/06/2024,      16.497,    130, 
09:00:00 02/06/2024,      16.879,    130, 
10:00:00 02/06/2024,      16.824,    130, 
11:00:00 02/06/2024,      16.660,    130, 
12:00:00 02/06/2024,      16.934,    130, 
13:00:00 02/06/2024,      16.769,    130, 
14:00:00 02/06/2024,      16.605,    130, 
