Code,Date,FY,Indicator,Units,Supplier,Geographic_Area,Region,Environment,Zone,Sub_Zone,Sample_Type,Water_Type,Management,Lat,Long,Inside_Port_Zone,WQO,LOR,Failure,Stat,Month,Values,N_Months,Val_Min,Val_Twentieth,Val_Mean,Val_Median,Val_Eightieth,Val_Max,Val_Stat,N_Samples
BUR1,2023-01-24,2023,Secchi,m,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,10,0.01,low,mean,Jan,10,7,6.2,6.76,7.9556,8,8.9,10,7.9556,9
BUR1,2023-01-24,2023,TSS,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,2,0.1,high,mean,Jan,0.4275,7,0.3175,0.4185,0.7775,0.7275,0.9395,1.94,0.7775,9
BUR1,2023-02-07,2023,Chla,ug.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.45,0.1,high,mean,Feb,0.3237,12,0.091,0.316,0.551,0.488,0.715,2.67,0.551,314
BUR1,2023-02-07,2023,NOX,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.002,0.02,high,mean,Feb,0.0051,7,3e-4,4e-4,0.0017,9e-4,0.0026,0.0051,0.0017,9
BUR1,2023-02-07,2023,PN,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.02,0.005,high,mean,Feb,0.0238,7,0.013,0.0203,0.0301,0.0256,0.0304,0.0782,0.0301,9
BUR1,2023-02-07,2023,PP,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.0028,0.01,high,mean,Feb,0.0018,7,0.0018,0.0018,0.0023,0.0021,0.0028,0.0033,0.0023,9
BUR1,2023-02-07,2023,Secchi,m,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,10,0.01,low,mean,Feb,6.2,7,6.2,6.76,7.9556,8,8.9,10,7.9556,9
BUR1,2023-02-07,2023,TSS,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,2,0.1,high,mean,Feb,0.735,7,0.3175,0.4185,0.7775,0.7275,0.9395,1.94,0.7775,9
BUR1,2023-02-20,2023,Chla,ug.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.45,0.1,high,mean,Feb,0.5439,12,0.091,0.316,0.551,0.488,0.715,2.67,0.551,314
BUR1,2023-02-20,2023,NOX,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.002,0.02,high,mean,Feb,4e-4,7,3e-4,4e-4,0.0017,9e-4,0.0026,0.0051,0.0017,9
BUR1,2023-02-20,2023,PN,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.02,0.005,high,mean,Feb,0.0256,7,0.013,0.0203,0.0301,0.0256,0.0304,0.0782,0.0301,9
BUR1,2023-02-20,2023,PP,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.0028,0.01,high,mean,Feb,0.0027,7,0.0018,0.0018,0.0023,0.0021,0.0028,0.0033,0.0023,9
BUR1,2023-02-20,2023,Secchi,m,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,10,0.01,low,mean,Feb,8,7,6.2,6.76,7.9556,8,8.9,10,7.9556,9
BUR1,2023-02-20,2023,TSS,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,2,0.1,high,mean,Feb,0.7275,7,0.3175,0.4185,0.7775,0.7275,0.9395,1.94,0.7775,9
BUR1,2023-03-06,2023,Chla,ug.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.45,0.1,high,mean,Mar,0.7507,12,0.091,0.316,0.551,0.488,0.715,2.67,0.551,314
BUR1,2023-03-06,2023,NOX,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.002,0.02,high,mean,Mar,0.0014,7,3e-4,4e-4,0.0017,9e-4,0.0026,0.0051,0.0017,9
BUR1,2023-03-06,2023,PN,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.02,0.005,high,mean,Mar,0.0314,7,0.013,0.0203,0.0301,0.0256,0.0304,0.0782,0.0301,9
BUR1,2023-03-06,2023,PP,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.0028,0.01,high,mean,Mar,0.0021,7,0.0018,0.0018,0.0023,0.0021,0.0028,0.0033,0.0023,9
BUR1,2023-03-06,2023,Secchi,m,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,10,0.01,low,mean,Mar,6.4,7,6.2,6.76,7.9556,8,8.9,10,7.9556,9
BUR1,2023-03-06,2023,TSS,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,2,0.1,high,mean,Mar,1.025,7,0.3175,0.4185,0.7775,0.7275,0.9395,1.94,0.7775,9
BUR1,2023-04-18,2023,Chla,ug.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.45,0.1,high,mean,Apr,0.2933,12,0.091,0.316,0.551,0.488,0.715,2.67,0.551,314
BUR1,2023-04-18,2023,NOX,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.002,0.02,high,mean,Apr,9e-4,7,3e-4,4e-4,0.0017,9e-4,0.0026,0.0051,0.0017,9
BUR1,2023-04-18,2023,PN,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.02,0.005,high,mean,Apr,0.0286,7,0.013,0.0203,0.0301,0.0256,0.0304,0.0782,0.0301,9
BUR1,2023-04-18,2023,PP,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.0028,0.01,high,mean,Apr,0.003,7,0.0018,0.0018,0.0023,0.0021,0.0028,0.0033,0.0023,9
BUR1,2023-04-18,2023,Secchi,m,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,10,0.01,low,mean,Apr,7.5,7,6.2,6.76,7.9556,8,8.9,10,7.9556,9
BUR1,2023-04-18,2023,TSS,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,2,0.1,high,mean,Apr,0.405,7,0.3175,0.4185,0.7775,0.7275,0.9395,1.94,0.7775,9
BUR1,2023-06-17,2023,Chla,ug.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.45,0.1,high,mean,Jun,0.3489,12,0.091,0.316,0.551,0.488,0.715,2.67,0.551,314
BUR1,2023-06-17,2023,NOX,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.002,0.02,high,mean,Jun,0.0019,7,3e-4,4e-4,0.0017,9e-4,0.0026,0.0051,0.0017,9
BUR1,2023-06-17,2023,PN,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.02,0.005,high,mean,Jun,0.0151,7,0.013,0.0203,0.0301,0.0256,0.0304,0.0782,0.0301,9
BUR1,2023-06-17,2023,PP,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,0.0028,0.01,high,mean,Jun,0.0019,7,0.0018,0.0018,0.0023,0.0021,0.0028,0.0033,0.0023,9
BUR1,2023-06-17,2023,Secchi,m,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,10,0.01,low,mean,Jun,7,7,6.2,6.76,7.9556,8,8.9,10,7.9556,9
BUR1,2023-06-17,2023,TSS,mg.L,MMP,Midshelf,DT,Inshore,Halifax Bay,Midshelf,grab,midshelf,HEV,-18.5406,146.4886,N,2,0.1,high,mean,Jun,0.5375,7,0.3175,0.4185,0.7775,0.7275,0.9395,1.94,0.7775,9
BUR2,2022-10-29,2023,Chla,ug.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.45,0.1,high,mean,Oct,0.2345,12,0.0872,0.307,0.4502,0.43,0.575,0.909,0.4502,361
BUR2,2022-10-29,2023,NOX,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.002,0.02,high,mean,Oct,6e-4,7,3e-4,5e-4,0.0011,7e-4,0.0012,0.0039,0.0011,9
BUR2,2022-10-29,2023,PN,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.02,0.005,high,mean,Oct,0.0173,7,0.0173,0.0221,0.0277,0.0271,0.0306,0.0467,0.0277,9
BUR2,2022-10-29,2023,PP,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.0028,0.01,high,mean,Oct,0.0025,7,0.0018,0.0021,0.0027,0.0026,0.0028,0.0047,0.0027,9
BUR2,2022-10-29,2023,Secchi,m,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,10,0.01,low,mean,Oct,8.5,7,2.4,3.72,5.7222,5.5,7.6,11,5.7222,9
BUR2,2022-10-29,2023,TSS,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,2,0.1,high,mean,Oct,1.2575,7,0.415,0.747,1.2711,1.2575,1.939,2.05,1.2711,9
BUR2,2022-12-02,2023,Chla,ug.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.45,0.1,high,mean,Dec,0.0872,12,0.0872,0.307,0.4502,0.43,0.575,0.909,0.4502,361
BUR2,2022-12-02,2023,NOX,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.002,0.02,high,mean,Dec,7e-4,7,3e-4,5e-4,0.0011,7e-4,0.0012,0.0039,0.0011,9
BUR2,2022-12-02,2023,PN,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.02,0.005,high,mean,Dec,0.0256,7,0.0173,0.0221,0.0277,0.0271,0.0306,0.0467,0.0277,9
BUR2,2022-12-02,2023,PP,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.0028,0.01,high,mean,Dec,0.0026,7,0.0018,0.0021,0.0027,0.0026,0.0028,0.0047,0.0027,9
BUR2,2022-12-02,2023,Secchi,m,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,10,0.01,low,mean,Dec,3.8,7,2.4,3.72,5.7222,5.5,7.6,11,5.7222,9
BUR2,2022-12-02,2023,TSS,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,2,0.1,high,mean,Dec,1.975,7,0.415,0.747,1.2711,1.2575,1.939,2.05,1.2711,9
BUR2,2023-01-04,2023,Chla,ug.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.45,0.1,high,mean,Jan,0.4617,12,0.0872,0.307,0.4502,0.43,0.575,0.909,0.4502,361
BUR2,2023-01-04,2023,NOX,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.002,0.02,high,mean,Jan,0.0017,7,3e-4,5e-4,0.0011,7e-4,0.0012,0.0039,0.0011,9
BUR2,2023-01-04,2023,PN,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.02,0.005,high,mean,Jan,0.0467,7,0.0173,0.0221,0.0277,0.0271,0.0306,0.0467,0.0277,9
BUR2,2023-01-04,2023,PP,mg.L,MMP,H.Open Coastal,DT,Inshore,Halifax Bay,HB.Open Coastal,grab,open coastal,SD,-18.8154,146.4336,N,0.0028,0.01,high,mean,Jan,0.0047,7,0.0018,0.0021,0.0027,0.0026,0.0028,0.0047,0.0027,9
