"","region","basin","sub_basin","year","total_basin_area","vegetation","area","percent_coverage","y_on_y_area_change","y_on_y_percentage_change"
"250","Dry Tropics","Burdekin","Suttor","remnant_2019",18220.16386,"Non-Remnant Vegetation",8846.55893,48.55367,81.14141,0.44534
"251","Dry Tropics","Burdekin","Upper Burdekin","remnant_2021",40508.93875,"Eucalypt Variations",35082.39949,86.60409,-127.28334,-0.31421
"252","Dry Tropics","Burdekin","Belyando","remnant_2021",35439.00425,"Non-Remnant Vegetation",18518.17493,52.25365,39.05406,0.1102
"253","Dry Tropics","Burdekin","Cape Campaspe","remnant_2021",20457.93006,"Eucalypt Variations",15197.88718,74.28849,-668.47018,-3.26754
"254","Dry Tropics","Burdekin","Belyando","remnant_2021",35439.00425,"Eucalypt Variations",13323.43431,37.5954,-134.80185,-0.38038
"255","Dry Tropics","Burdekin","Suttor","remnant_2021",18220.16385,"Non-Remnant Vegetation",8904.1213,48.8696,57.56237,0.31593
"256","Wet Tropics","Daintree","Daintree","pre_clear",2105.0472,"Rainforest and Scrubs",1230.43086,58.45146,0,0
"257","Wet Tropics","Daintree","Daintree","pre_clear",2105.0472,"Eucalypt Variations",794.47906,37.74163,0,0
"258","Wet Tropics","Daintree","Daintree","pre_clear",2105.0472,"Mangroves and Saltmarshes",33.71419,1.60159,0,0
"259","Wet Tropics","Daintree","Daintree","pre_clear",2105.0472,"Melaleuca Open Woodlands",26.43578,1.25583,0,0
"260","Wet Tropics","Daintree","Daintree","pre_clear",2105.0472,"Other Coastal Communities",9.4778,0.45024,0,0
"261","Wet Tropics","Daintree","Daintree","remnant_1997",2105.0472,"Rainforest and Scrubs",1148.50258,54.55947,-81.92828,-3.89199
"262","Wet Tropics","Daintree","Daintree","remnant_1997",2105.0472,"Eucalypt Variations",761.90833,36.19436,-32.57073,-1.54727
"263","Wet Tropics","Daintree","Daintree","remnant_1997",2105.0472,"Non-Remnant Vegetation",121.09078,5.7524,121.09078,5.7524
"264","Wet Tropics","Daintree","Daintree","remnant_1997",2105.0472,"Mangroves and Saltmarshes",32.37102,1.53778,-1.34317,-0.06381
"265","Wet Tropics","Daintree","Daintree","remnant_1997",2105.0472,"Melaleuca Open Woodlands",21.36944,1.01515,-5.06634,-0.24068
"266","Wet Tropics","Daintree","Daintree","remnant_1999",2105.0472,"Rainforest and Scrubs",1148.10299,54.54049,-0.39959,-0.01898
"267","Wet Tropics","Daintree","Daintree","remnant_1999",2105.0472,"Eucalypt Variations",761.80845,36.18961,-0.09988,-0.00474
"268","Wet Tropics","Daintree","Daintree","remnant_1999",2105.0472,"Non-Remnant Vegetation",121.61773,5.77743,0.52695,0.02503
"269","Wet Tropics","Daintree","Daintree","remnant_1999",2105.0472,"Mangroves and Saltmarshes",32.37102,1.53778,0,0
"270","Wet Tropics","Daintree","Daintree","remnant_1999",2105.0472,"Melaleuca Open Woodlands",21.34196,1.01385,-0.02748,-0.00131
"271","Wet Tropics","Daintree","Daintree","remnant_2000",2105.0472,"Rainforest and Scrubs",1148.10299,54.54049,0,0
"272","Wet Tropics","Daintree","Daintree","remnant_2000",2105.0472,"Eucalypt Variations",761.80759,36.18957,-0.00086,-0.00004
"273","Wet Tropics","Daintree","Daintree","remnant_2000",2105.0472,"Non-Remnant Vegetation",121.61928,5.77751,0.00155,0.00007
"274","Wet Tropics","Daintree","Daintree","remnant_2000",2105.0472,"Mangroves and Saltmarshes",32.37102,1.53778,0,0
"275","Wet Tropics","Daintree","Daintree","remnant_2000",2105.0472,"Melaleuca Open Woodlands",21.34127,1.01381,-0.00069,-0.00003
