"region","basin","sub_basin","year","total_surveyed_area","vegetation","area","veg_percent_of_total_area","y_on_y_veg_area_change","y_on_y_veg_percent_change","standardised_score"
"Dry Tropics","Ross","Alligator Creek","remnant_2021",105.30812,"Non-Remnant Vegetation",122.1,1.15967,0,0,80
"Dry Tropics","Ross","Alligator Creek","pre_clear",105.30812,"Other Vegetation",1500.5,14.24864,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_1997",105.30812,"Other Vegetation",1449.9,13.76856,-50.6,-3.37,20
"Dry Tropics","Ross","Alligator Creek","remnant_1999",105.30812,"Other Vegetation",1437.5,13.65021,-12.5,-0.86,38
"Dry Tropics","Ross","Alligator Creek","remnant_2000",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2001",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2003",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2005",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006b",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2007",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2009",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2011",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2013",105.30812,"Other Vegetation",1437.5,13.65021,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2015",105.30812,"Other Vegetation",1436.5,13.64108,-1,-0.07,67
"Dry Tropics","Ross","Alligator Creek","remnant_2017",105.30812,"Other Vegetation",1436.5,13.64108,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2019",105.30812,"Other Vegetation",1436.5,13.64108,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2021",105.30812,"Other Vegetation",1426.8,13.54856,-9.7,-0.68,39
"Dry Tropics","Ross","Alligator Creek","pre_clear",105.30812,"Saltmarshes",6085.6,57.78819,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_1997",105.30812,"Saltmarshes",5997.5,56.95191,-88.1,-1.45,33
"Dry Tropics","Ross","Alligator Creek","remnant_1999",105.30812,"Saltmarshes",5998.2,56.95837,0.7,0.01,81
"Dry Tropics","Ross","Alligator Creek","remnant_2000",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2001",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2003",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2005",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2006b",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2007",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2009",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2011",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2013",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
"Dry Tropics","Ross","Alligator Creek","remnant_2015",105.30812,"Saltmarshes",5998.2,56.95837,0,0,80
