SubBasinOrSubZone,Length (km)
Black River,270.274629079793
Bluewater Creek,237.71355336564
Crystal Creek,200.676696973714
Palm Islands,12.5084928660262
Rollingstone Creek,157.068399287389
Alligator Creek,209.874317522657
Bohle River,245.949741945325
Magnetic Island,26.2794704782298
Ross River (Lower),73.4006498411448
Stuart Creek,81.2020917889432
Paluma Lake,3.90422051522001
Ross River (Upper),581.218485351753
