SubBasinOrSubZone,Area (km2)
Black River,301.75288897457
Bluewater Creek,291.807835401939
Crystal Creek,239.19388549917
Palm Islands,89.8079379845722
Rollingstone Creek,222.040855885671
Alligator Creek,360.957007530702
Bohle River,328.868691534315
Magnetic Island,51.8063729807042
Ross River (Lower),134.138956019847
Stuart Creek,121.084921150475
Paluma Lake,5.08059411817789
Ross River (Upper),761.323314276627
