Code,Date,FY,Indicator,Units,Values,Sub_Basin,Supplier,Region,Environment,Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,Watercourse_Area,Watercourse_Proportion_of_Sub_Basin,Lat,Long,WQO,LOR,SF,Failure,Stat,Month,N_Months,Val_Min,Val_Twentieth,Val_Mean,Val_Median,Val_Eightieth,Val_Max,N_Samples
A.Weir,2023-05-09T12:18:00Z,2023,DIN,mg.L,0.015,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,0.02,0.38,high,median,May,12,0.0015,0.009200000000000002,0.04472580645161291,0.0225,0.0908,0.167,63
A.Weir,2023-05-09T12:18:00Z,2023,FRP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,NA,NA,high,median,May,12,5e-4,0.002,0.013274509803921569,0.005,0.031,0.057,63
A.Weir,2023-05-09T12:18:00Z,2023,High_DO,%.Sat,89.80250228207883,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,110,0.5,120,high,median,May,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2023-05-09T12:18:00Z,2023,Low_DO,%.Sat,89.80250228207883,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,90,0.5,70,low,median,May,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2023-05-09T12:18:00Z,2023,TP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.03,0.02,0.46,high,median,May,12,Inf,NA,NA,NA,NA,-Inf,63
A.Weir,2023-05-09T12:18:00Z,2023,Turbidity,NTU,4.2,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,10,0.1,35,high,median,May,12,1.6,3.1,5.581818181818182,4.2,6.5,18.3,63
A.Weir,2023-06-09T08:48:00Z,2023,DIN,mg.L,0.05,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,0.02,0.38,high,median,Jun,12,0.0015,0.009200000000000002,0.04472580645161291,0.0225,0.0908,0.167,63
A.Weir,2023-06-09T08:48:00Z,2023,FRP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.02,NA,NA,high,median,Jun,12,5e-4,0.002,0.013274509803921569,0.005,0.031,0.057,63
A.Weir,2023-06-09T08:48:00Z,2023,High_DO,%.Sat,83.78237096841364,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,110,0.5,120,high,median,Jun,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2023-06-09T08:48:00Z,2023,Low_DO,%.Sat,83.78237096841364,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,90,0.5,70,low,median,Jun,12,60.73579722937258,79.64987334639534,85.55866455597133,85.39080704840799,92.74364000991461,101.41903938349203,63
A.Weir,2023-06-09T08:48:00Z,2023,TP,mg.L,NA,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,0.03,0.02,0.46,high,median,Jun,12,Inf,NA,NA,NA,NA,-Inf,63
A.Weir,2023-06-09T08:48:00Z,2023,Turbidity,NTU,3.1,Lower Ross River,TCC_Other,DT,Freshwater,Ross,Aplins Weir,786,0.56,NA,NA,-19.304179127105,146.780712067478,10,0.1,35,high,median,Jun,12,1.6,3.1,5.581818181818182,4.2,6.5,18.3,63
AltC7.0,2022-07-27T15:00:15Z,2023,DIN,mg.L,0.005,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,0.002,0.05,high,median,Jul,11,0.002,0.003,0.00909090909090909,0.004,0.009000000000000001,0.053,11
AltC7.0,2022-07-27T15:00:15Z,2023,FRP,mg.L,0.014,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,NA,NA,high,median,Jul,11,0.003,0.004,0.006363636363636364,0.006,0.008,0.014,11
AltC7.0,2022-07-27T15:00:15Z,2023,High_DO,%.Sat,123,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,105,0.5,120,high,median,Jul,11,79.8,96.4,110.94545454545454,107.3,123,141.2,11
AltC7.0,2022-07-27T15:00:15Z,2023,Low_DO,%.Sat,123,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,90,0.5,70,low,median,Jul,11,79.8,96.4,110.94545454545454,107.3,123,141.2,11
AltC7.0,2022-07-27T15:00:15Z,2023,TP,mg.L,0.025,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,0.004,0.03,high,median,Jul,11,0.02,0.024,0.028363636363636365,0.027,0.035,0.037,11
AltC7.0,2022-07-27T15:00:15Z,2023,Turbidity,NTU,22.57,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,5,0.1,10,high,median,Jul,11,6.26,7.82,38.82,27.83,65.66,138.04,11
AltC7.0,2022-08-24T14:18:58Z,2023,DIN,mg.L,0.002,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,0.002,0.05,high,median,Aug,11,0.002,0.003,0.00909090909090909,0.004,0.009000000000000001,0.053,11
AltC7.0,2022-08-24T14:18:58Z,2023,FRP,mg.L,0.007,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,NA,NA,high,median,Aug,11,0.003,0.004,0.006363636363636364,0.006,0.008,0.014,11
AltC7.0,2022-08-24T14:18:58Z,2023,High_DO,%.Sat,118.5,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,105,0.5,120,high,median,Aug,11,79.8,96.4,110.94545454545454,107.3,123,141.2,11
AltC7.0,2022-08-24T14:18:58Z,2023,Low_DO,%.Sat,118.5,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,90,0.5,70,low,median,Aug,11,79.8,96.4,110.94545454545454,107.3,123,141.2,11
AltC7.0,2022-08-24T14:18:58Z,2023,TP,mg.L,0.036,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,0.004,0.03,high,median,Aug,11,0.02,0.024,0.028363636363636365,0.027,0.035,0.037,11
AltC7.0,2022-08-24T14:18:58Z,2023,Turbidity,NTU,7.82,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,5,0.1,10,high,median,Aug,11,6.26,7.82,38.82,27.83,65.66,138.04,11
AltC7.0,2022-09-12T13:20:54Z,2023,DIN,mg.L,0.003,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,0.002,0.05,high,median,Sep,11,0.002,0.003,0.00909090909090909,0.004,0.009000000000000001,0.053,11
AltC7.0,2022-09-12T13:20:54Z,2023,FRP,mg.L,0.008,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,0.02,NA,NA,high,median,Sep,11,0.003,0.004,0.006363636363636364,0.006,0.008,0.014,11
AltC7.0,2022-09-12T13:20:54Z,2023,High_DO,%.Sat,141.2,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,105,0.5,120,high,median,Sep,11,79.8,96.4,110.94545454545454,107.3,123,141.2,11
AltC7.0,2022-09-12T13:20:54Z,2023,Low_DO,%.Sat,141.2,Bluewater Creek,DES,DT,Freshwater,Black,Althaus Creek,162,0.24,35,0.05185185185185185,-19.194210000000002,146.57531,90,0.5,70,low,median,Sep,11,79.8,96.4,110.94545454545454,107.3,123,141.2,11
