LGA_Within_Burdekin
Etheridge Shire
Flinders Shire
Hinchinbrook Shire
Isaac Regional
Mackay Regional
Tablelands Regional
Townsville City
Whitsunday Regional
Barcaldine Regional
Blackall Tambo Regional
Burdekin Shire
Central Highlands Regional
Charters Towers Regional
Palm Island Aboriginal Shire
