Code,Indicator,Value_Unchanged,Value_Halved
BUR2,Chla,6,2
CB1,Chla,10,2
CB15,FRP,2,2
CB15,NOX,NA,2
CB15,TP,NA,2
CB15,TSS,2,2
CB16,FRP,2,2
CB16,NOX,NA,2
CB16,TP,NA,2
CB16,TSS,3,1
CB2,Chla,8,3
CB2,TSS,10,1
CB6,Chla,7,5
P05,FRP,2,2
P05,NOX,NA,2
P05,TP,1,2
P05,TSS,3,1
RR07,FRP,2,2
RR07,NOX,1,1
RR07,TP,1,1
RR09,FRP,2,2
RR09,NOX,NA,2
RR09,TP,NA,2
RR09,TSS,3,1
SB01,FRP,2,2
SB01,NOX,NA,2
SB01,TP,NA,2
SJ01,FRP,2,2
SJ01,NOX,NA,2
SJ01,TP,NA,2
SJ01,TSS,2,2
