Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,FRP,High_DO,Low_DO,TP,Turbidity,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,High_DO_Grade,Low_DO_Grade,TP_Grade,Turbidity_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Ross,Upper Ross River,Ross Lake,458,0.32,56,NA,90,90,59,90,58,90,90,74,18.1,NA,28.8,28.8,19.1,28.8,18.6,28.8,23.7,A,A,C,A,C,A,A,B,E,NA,D,D,E,D,E,D,D
DT,Ross,Lower Ross River,Aplins Weir,786,0.56,62,90,90,46,NA,90,62,46,68,65,34.9,50.4,50.4,26.2,NA,50.4,34.9,38.3,36.6,A,C,NA,A,B,C,B,B,D,C,C,D,NA,C,D,D,D
DT,Ross,Lower Ross River,Gleesons Weir,786,0.56,59,NA,90,67,NA,90,59,67,78,69,33.4,NA,50.4,37.6,NA,50.4,33.4,44,38.7,A,B,NA,A,C,B,B,B,D,NA,C,D,NA,C,D,C,D
DT,Ross,Lower Ross River,Blacks Weir,786,0.56,63,NA,90,44,90,90,76,44,67,72,35.4,NA,50.4,25.2,50.4,50.4,42.9,37.8,40.4,A,C,A,A,B,C,B,B,D,NA,C,D,C,C,C,D,D
DT,Ross,Bohle River,Bohle Mid-Field,169,0.12,0,NA,90,50,0,62,0,50,56,28,0,NA,10.8,6,0,7.5,0,6.8,3.4,A,C,E,B,E,C,C,D,E,NA,E,E,E,E,E,E,E
DT,Ross,Bohle River,Bohle Far-Field,169,0.12,0,NA,90,0,0,63,0,0,31,15,0,NA,10.8,0,0,7.6,0,3.8,1.9,A,E,E,B,E,E,D,E,E,NA,E,E,E,E,E,E,E
DT,Black,Black River,Black River,250,0.37,63,90,64,90,39,72,51,64,68,60,23.6,33.3,24,33.3,14.6,26.7,19.1,25.4,22.2,B,A,D,B,C,B,B,C,D,D,D,D,E,D,E,D,D
DT,Black,Bluewater Creek,Althaus Creek,162,0.24,90,90,51,90,18,0,54,51,25,39,21.6,21.6,12.4,21.6,4.4,0,13,6.2,9.6,C,A,E,E,C,C,D,D,D,D,E,D,E,E,E,E,E
DT,Black,Bluewater Creek,Bluewater Creek,162,0.24,73,90,90,62,90,70,81,62,66,74,17.6,21.6,21.6,15.1,21.6,16.9,19.6,16,17.8,A,B,A,B,A,B,B,B,E,D,D,E,D,E,E,E,E
DT,Black,Bluewater Creek,Sleeper Log Creek,162,0.24,90,90,90,72,77,13,83,72,43,63,21.6,21.6,21.6,17.4,18.6,3.3,20.1,10.3,15.2,A,B,B,E,A,B,C,B,D,D,D,E,E,E,E,E,E
