Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,Turbidity,High_DO,Low_DO,TP,FRP,DIN,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,Low_DO_Grade,TP_Grade,FRP_Grade,DIN_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Black,Paluma Dam,Paluma Lake,2,0.00296296296296296,90,90,52.929772793704664,90,NA,NA,90,52.929772793704664,71.46488639685234,80.73244319842617,NA,NA,0.26666666666666644,0.15682895642579145,0.26666666666666644,0.26666666666666644,0.26666666666666644,0.21174781154622896,0.23920723910644767,C,A,NA,NA,A,C,B,B,NA,NA,E,E,E,E,E,E,E
DT,Ross,Upper Ross River,NA,458,0.32,90,90,90,73.03,NA,NA,73.03,NA,90,81.515,NA,NA,28.8,28.8,23.369600000000002,28.8,23.369600000000002,28.8,26.0848,A,B,NA,NA,B,NA,A,A,NA,NA,D,D,D,D,D,D,D
DT,Ross,Lower Ross River,NA,786,0.56,90,90,53.017970809221126,90,90,61.753961819973995,66.20377663478881,NA,71.50898540461056,68.85638101969968,34.58221861918544,50.400000000000006,50.400000000000006,29.690063653163833,50.400000000000006,50.400000000000006,37.074114915481736,40.04503182658191,38.559573371031824,C,A,A,B,B,NA,B,B,D,C,C,D,C,C,D,D,D
DT,Ross,Bohle River,NA,169,0.12,63.00098223615464,90,25.050200000000007,0,NA,0,0,NA,44.02559111807733,22.012795559038665,0,NA,10.799999999999999,3.006024000000001,0,7.560117868338557,0,5.283070934169279,2.6415354670846396,D,E,NA,E,E,NA,C,D,E,NA,E,E,E,E,E,E,E
DT,Black,Black River,NA,250,0.37,72.13563803543394,64.89512611879576,90,39.584999999999994,90,63.72734939759036,51.656174698795176,NA,68.51538207711485,60.08577838795502,23.579119277108433,33.3,24.01119666395443,33.3,14.646449999999998,26.69018607311056,19.112784638554214,25.350691368532495,22.231738003543356,A,D,A,B,C,NA,B,C,D,D,D,D,E,D,E,D,D
DT,Black,Bluewater Creek,NA,162,0.24,28.00755865739735,77.18733333333334,75.0798451273302,61.981111111111105,90,84.46968253968254,73.22539682539681,NA,45.13736855903044,59.18138269221363,20.272723809523807,21.599999999999998,18.52496,18.01916283055925,14.875466666666664,6.721814077775364,17.574095238095236,10.832968454167306,14.203531846131272,B,B,A,A,B,NA,C,C,E,D,E,E,E,E,E,E,E
DT,Black,Rollingstone Creek,NA,145,0.2148148148148148,72.00151903334582,90,67.81757515619259,90,90,80.36333333333333,85.18166666666667,NA,69.9095470947692,77.54560688071793,17.263234567901232,19.333333333333332,19.333333333333332,14.568219848367296,19.333333333333332,15.466992977533543,18.298283950617282,15.017606412950418,16.657945181783848,B,A,A,B,A,NA,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Crystal Creek,NA,116,0.17185185185185184,90,90,45,90,90,90,90,NA,67.5,78.75,15.466666666666665,15.466666666666665,15.466666666666665,7.7333333333333325,15.466666666666665,15.466666666666665,15.466666666666665,11.6,13.533333333333331,C,A,A,A,A,NA,B,B,E,E,E,E,E,E,E,E,E
DT,Black,Paluma Dam,NA,2,0.00296296296296296,90,90,52.929772793704664,90,NA,NA,90,NA,71.46488639685234,80.73244319842617,NA,NA,0.26666666666666644,0.15682895642579145,0.26666666666666644,0.26666666666666644,0.26666666666666644,0.21174781154622896,0.23920723910644767,C,A,NA,NA,A,NA,B,B,NA,NA,E,E,E,E,E,E,E
DT,Ross,NA,NA,1413,NA,81.00032741205155,90,49.85905207127723,40.7575,90,37.0523770919844,45.27355498406107,NA,65.42968974166439,55.351622362862734,34.58221861918544,50.400000000000006,90,61.49608765316383,73.76960000000001,86.76011786833857,60.443714915481735,74.12810276075119,67.28590883811647,C,D,A,D,C,NA,B,C,D,C,A,B,B,A,C,B,B
DT,Black,NA,NA,675,NA,64.21628711076634,83.64571261187957,66.1622033644273,76.55283333333333,90,82.02515522407089,79.68773651749856,NA,62.01210154353661,70.84991903051758,76.58174432120013,89.69999999999999,77.60282333062109,73.77754496868566,64.58858333333333,64.6123264617528,70.71849716060007,63.01301404719645,66.86575560389825,B,B,A,A,B,NA,B,B,B,A,B,B,B,B,B,B,B
