Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Dry Tropics,Ross,Bohle River,Conservation,2009,333,57.2,17.2,7.3,14.5,2009 to 1999
Dry Tropics,Ross,Bohle River,Conservation,2016,331.3,68.1,20.6,10.9,19,2016 to 2009
Dry Tropics,Ross,Bohle River,Conservation,2021,328.8,66.9,20.4,-1.2,-1.7,2021 to 2016
Dry Tropics,Ross,Magnetic Island,Conservation,1999,50.8,42.9,84.5,0,0,1999 to 1999
Dry Tropics,Ross,Magnetic Island,Conservation,2009,50.8,42.6,83.9,-0.3,-0.7,2009 to 1999
Dry Tropics,Ross,Magnetic Island,Conservation,2016,50.8,42.4,83.6,-0.2,-0.4,2016 to 2009
Dry Tropics,Ross,Magnetic Island,Conservation,2021,50.8,42.4,83.6,0,0,2021 to 2016
Dry Tropics,Ross,Ross River (Lower),Conservation,1999,134.4,51.9,38.6,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Lower),Conservation,2009,134,48.7,36.3,-3.2,-6.2,2009 to 1999
Dry Tropics,Ross,Ross River (Lower),Conservation,2016,134,47,35.1,-1.7,-3.4,2016 to 2009
Dry Tropics,Ross,Ross River (Lower),Conservation,2021,134,46.4,34.7,-0.6,-1.3,2021 to 2016
Dry Tropics,Ross,Ross River (Upper),Conservation,1999,765.7,98.4,12.9,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Conservation,2009,768,98.4,12.8,0,0,2009 to 1999
Dry Tropics,Ross,Ross River (Upper),Conservation,2016,768.7,98.4,12.8,0,0,2016 to 2009
Dry Tropics,Ross,Ross River (Upper),Conservation,2021,761.3,129,16.9,30.5,31,2021 to 2016
Dry Tropics,Ross,Stuart Creek,Conservation,1999,124.9,21.2,17,0,0,1999 to 1999
Dry Tropics,Ross,Stuart Creek,Conservation,2009,125,19.8,15.9,-1.4,-6.6,2009 to 1999
Dry Tropics,Ross,Stuart Creek,Conservation,2016,122.7,19.5,15.9,-0.3,-1.8,2016 to 2009
Dry Tropics,Ross,Stuart Creek,Conservation,2021,120.9,19.5,16.1,-0,-0.1,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Conservation,1999,3922.2,230.5,5.9,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Conservation,2009,3874.2,243.8,6.3,13.3,5.8,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Conservation,2016,3867.1,230.8,6,-13,-5.3,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Conservation,2021,3752.8,207.3,5.5,-23.5,-10.2,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Conservation,1999,2445.9,663.1,27.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Conservation,2009,2445.9,691.1,28.3,28,4.2,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Conservation,2016,2445.9,704.4,28.8,13.3,1.9,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Conservation,2021,2446,511,20.9,-193.4,-27.5,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Conservation,1999,1571.1,395.8,25.2,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Conservation,2009,1571.1,386.8,24.6,-9,-2.3,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Conservation,2016,1571.1,463.2,29.5,76.4,19.7,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Conservation,2021,1574.7,335.7,21.3,-127.5,-27.5,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Conservation,1999,2559.5,871.8,34.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Conservation,2009,2559.5,872.8,34.1,1,0.1,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Conservation,2016,2559.5,830.9,32.5,-41.9,-4.8,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Conservation,2021,2569.8,400.3,15.6,-430.6,-51.8,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Conservation,1999,2772.1,889.6,32.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Conservation,2009,2772.1,922.3,33.3,32.7,3.7,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Conservation,2016,2772.1,994.8,35.9,72.5,7.9,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Conservation,2021,2771.6,876.7,31.6,-118.1,-11.9,2021 to 2016
Wet Tropics,Barron,Barron,Conservation,1999,2381.9,227.6,9.6,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Conservation,2009,2368.8,633.3,26.7,405.7,178.2,2009 to 1999
Wet Tropics,Barron,Barron,Conservation,2015,2385.5,788.6,33.1,155.2,24.5,2015 to 2009
Wet Tropics,Barron,Barron,Conservation,2021,2193.2,766.7,35,-21.9,-2.8,2021 to 2015
Wet Tropics,Daintree,Daintree,Conservation,1999,2123.2,843.7,39.7,0,0,1999 to 1999
Wet Tropics,Daintree,Daintree,Conservation,2009,2120.5,938.8,44.3,95.1,11.3,2009 to 1999
Wet Tropics,Daintree,Daintree,Conservation,2015,2115.6,1824.3,86.2,885.5,94.3,2015 to 2009
Wet Tropics,Daintree,Daintree,Conservation,2021,2104.6,1815.1,86.2,-9.3,-0.5,2021 to 2015
Wet Tropics,Herbert,Herbert,Conservation,1999,10003.4,2616.3,26.2,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Conservation,2009,9996.8,2908,29.1,291.8,11.2,2009 to 1999
Wet Tropics,Herbert,Herbert,Conservation,2015,9952.5,2912.3,29.3,4.3,0.1,2015 to 2009
Wet Tropics,Herbert,Herbert,Conservation,2021,9873.2,3063.7,31,151.4,5.2,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Conservation,1999,2460.7,697.3,28.3,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Conservation,2009,2457.4,1305.9,53.1,608.5,87.3,2009 to 1999
Wet Tropics,Johnstone,Johnstone,Conservation,2015,2456.4,1326.4,54,20.5,1.6,2015 to 2009
Wet Tropics,Johnstone,Johnstone,Conservation,2021,2317.8,1290.9,55.7,-35.5,-2.7,2021 to 2015
Wet Tropics,Mossman,Mossman,Conservation,1999,513.5,242.6,47.2,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Conservation,2009,498,382.8,76.9,140.2,57.8,2009 to 1999
Wet Tropics,Mossman,Mossman,Conservation,2015,496,380.6,76.7,-2.2,-0.6,2015 to 2009
Wet Tropics,Mossman,Mossman,Conservation,2021,465.4,339.8,73,-40.8,-10.7,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Conservation,1999,1333.4,698.6,52.4,0,0,1999 to 1999
Wet Tropics,Mulgrave,Mulgrave,Conservation,2009,1333.7,955.2,71.6,256.6,36.7,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Conservation,2015,1333.4,954.5,71.6,-0.7,-0.1,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Conservation,2021,1319.7,936.7,71,-17.8,-1.9,2021 to 2015
Wet Tropics,Murray,Murray,Conservation,1999,1539.4,870.1,56.5,0,0,1999 to 1999
Wet Tropics,Murray,Murray,Conservation,2009,1537.4,1100.9,71.6,230.9,26.5,2009 to 1999
Wet Tropics,Murray,Murray,Conservation,2015,1538,1097.9,71.4,-3,-0.3,2015 to 2009
Wet Tropics,Murray,Murray,Conservation,2021,1524.4,1086.7,71.3,-11.2,-1,2021 to 2015
Wet Tropics,Russell,Russell,Conservation,1999,718.7,497.1,69.2,0,0,1999 to 1999
Wet Tropics,Russell,Russell,Conservation,2009,695.9,497.6,71.5,0.5,0.1,2009 to 1999
Wet Tropics,Russell,Russell,Conservation,2015,696.3,497.6,71.5,-0,-0,2015 to 2009
Wet Tropics,Russell,Russell,Conservation,2021,670.6,474.3,70.7,-23.3,-4.7,2021 to 2015
Wet Tropics,Tully,Tully,Conservation,1999,1718.8,511.3,29.7,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Conservation,2009,1712.6,1272.9,74.3,761.6,148.9,2009 to 1999
Wet Tropics,Tully,Tully,Conservation,2015,1713.5,1272.7,74.3,-0.2,-0,2015 to 2009
Wet Tropics,Tully,Tully,Conservation,2021,1684.7,1218.9,72.4,-53.8,-4.2,2021 to 2015
Burdekin,Burdekin,Belyando,Dryland Agriculture,1999,36777.9,159.2,0.4,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Dryland Agriculture,2009,37000.2,162,0.4,2.8,1.7,2009 to 1999
Burdekin,Burdekin,Belyando,Dryland Agriculture,2016,36069.3,164.4,0.5,2.4,1.5,2016 to 2009
Burdekin,Burdekin,Belyando,Dryland Agriculture,2021,35439,150.5,0.4,-13.9,-8.5,2021 to 2016
Burdekin,Burdekin,Broke Bogie,Dryland Agriculture,1999,12006.2,3.7,0,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Dryland Agriculture,2009,12202.7,5,0,1.3,36.4,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Dryland Agriculture,2016,12233.3,5.3,0,0.3,5.3,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Dryland Agriculture,2021,11728.8,4.9,0,-0.4,-6.9,2021 to 2016
Burdekin,Burdekin,Cape Campaspe,Dryland Agriculture,1999,20636,2.3,0,0,0,1999 to 1999
Burdekin,Burdekin,Cape Campaspe,Dryland Agriculture,2009,20639.9,1.8,0,-0.5,-22,2009 to 1999
Burdekin,Burdekin,Cape Campaspe,Dryland Agriculture,2016,20594,1.5,0,-0.3,-16.6,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Dryland Agriculture,2009,3804.7,0,0,0,0,1999 to 1999
Burdekin,Burdekin,Lower Burdekin,Dryland Agriculture,2016,3805.7,0,0,0,0,2016 to 2009
Burdekin,Burdekin,Lower Burdekin,Dryland Agriculture,2021,3760.1,0,0,0,0,2021 to 2016
Burdekin,Burdekin,Suttor,Dryland Agriculture,1999,19599.8,1044.3,5.3,0,0,1999 to 1999
Burdekin,Burdekin,Suttor,Dryland Agriculture,2009,19664.5,1092.4,5.6,48.1,4.6,2009 to 1999
Burdekin,Burdekin,Suttor,Dryland Agriculture,2016,19570.9,1161.3,5.9,68.8,6.3,2016 to 2009
Burdekin,Burdekin,Suttor,Dryland Agriculture,2021,18220.2,1219.2,6.7,58,5,2021 to 2016
Burdekin,Burdekin,Upper Burdekin,Dryland Agriculture,1999,40700.5,6.5,0,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Dryland Agriculture,2009,40700.4,8.4,0,1.9,29.1,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Dryland Agriculture,2016,40960.1,7.3,0,-1.1,-12.8,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Dryland Agriculture,2021,40508.9,1,0,-6.3,-86.3,2021 to 2016
Burdekin,Haughton,Haughton,Dryland Agriculture,1999,4159.6,7.1,0.2,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Dryland Agriculture,2009,4159.8,6.7,0.2,-0.4,-5.5,2009 to 1999
Burdekin,Haughton,Haughton,Dryland Agriculture,2016,4157.3,6.5,0.2,-0.2,-3,2016 to 2009
Burdekin,Haughton,Haughton,Dryland Agriculture,2021,4068.8,0.4,0,-6.1,-94.5,2021 to 2016
Dry Tropics,Black,Black River,Dryland Agriculture,1999,305.5,0.3,0.1,0,0,1999 to 1999
Dry Tropics,Black,Black River,Dryland Agriculture,2009,305,0.1,0,-0.2,-63.9,2009 to 1999
Dry Tropics,Black,Black River,Dryland Agriculture,2016,305.1,0.2,0.1,0.1,105,2016 to 2009
Dry Tropics,Black,Black River,Dryland Agriculture,2021,301.7,0.2,0.1,0,0,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Dryland Agriculture,1999,296.6,0.1,0,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Dryland Agriculture,1999,239.9,0,0,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Dryland Agriculture,2009,239.9,0.1,0.1,0.1,700.3,2009 to 1999
Dry Tropics,Black,Crystal Creek,Dryland Agriculture,2016,239.7,0.2,0.1,0,18.9,2016 to 2009
Dry Tropics,Black,Crystal Creek,Dryland Agriculture,2021,239.1,0.2,0.1,-0,-0,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Dryland Agriculture,1999,224.2,0.4,0.2,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Dryland Agriculture,2009,224.2,0.8,0.3,0.3,79.7,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Dryland Agriculture,2016,224.3,0.8,0.3,0,0,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Dryland Agriculture,2021,222,0.8,0.3,-0,-0,2021 to 2016
Dry Tropics,Ross,Alligator Creek,Dryland Agriculture,1999,368.4,0.6,0.2,0,0,1999 to 1999
Dry Tropics,Ross,Alligator Creek,Dryland Agriculture,2009,369.3,1,0.3,0.4,59.2,2009 to 1999
Dry Tropics,Ross,Alligator Creek,Dryland Agriculture,2016,369.6,1,0.3,0,0,2016 to 2009
Dry Tropics,Ross,Alligator Creek,Dryland Agriculture,2021,360.4,0.2,0,-0.8,-82,2021 to 2016
Dry Tropics,Ross,Bohle River,Dryland Agriculture,1999,332.3,0.3,0.1,0,0,1999 to 1999
Dry Tropics,Ross,Bohle River,Dryland Agriculture,2009,333,0.5,0.2,0.3,105.6,2009 to 1999
Dry Tropics,Ross,Bohle River,Dryland Agriculture,2016,331.3,0.2,0.1,-0.4,-68.2,2016 to 2009
Dry Tropics,Ross,Bohle River,Dryland Agriculture,2021,328.8,0.2,0.1,0,0,2021 to 2016
Dry Tropics,Ross,Ross River (Upper),Dryland Agriculture,1999,765.7,0.6,0.1,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Dryland Agriculture,2009,768,0.6,0.1,0,0,2009 to 1999
Dry Tropics,Ross,Ross River (Upper),Dryland Agriculture,2016,768.7,0.5,0.1,-0.1,-10.4,2016 to 2009
Dry Tropics,Ross,Ross River (Upper),Dryland Agriculture,2021,761.3,0.2,0,-0.3,-63.6,2021 to 2016
Dry Tropics,Ross,Stuart Creek,Dryland Agriculture,1999,124.9,0.3,0.3,0,0,1999 to 1999
Dry Tropics,Ross,Stuart Creek,Dryland Agriculture,2009,125,0.3,0.3,0,0,2009 to 1999
Dry Tropics,Ross,Stuart Creek,Dryland Agriculture,2016,122.7,0.3,0.3,0,0,2016 to 2009
Dry Tropics,Ross,Stuart Creek,Dryland Agriculture,2021,120.9,0.1,0,-0.3,-84,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Dryland Agriculture,1999,3922.2,0.5,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Dryland Agriculture,2009,3874.2,0.7,0,0.1,22.7,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Dryland Agriculture,2016,3867.1,1.5,0,0.9,131.7,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Dryland Agriculture,2021,3752.8,3.2,0.1,1.7,112,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Dryland Agriculture,1999,2445.9,0.8,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Dryland Agriculture,2009,2445.9,14.3,0.6,13.5,1765.7,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Dryland Agriculture,2016,2445.9,0.7,0,-13.6,-95.4,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Dryland Agriculture,2021,2446,6.5,0.3,5.9,894.7,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Dryland Agriculture,1999,1571.1,0.2,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Dryland Agriculture,2009,1571.1,0.4,0,0.2,80.4,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Dryland Agriculture,2016,1571.1,0.3,0,-0.1,-31.2,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Dryland Agriculture,2021,1574.7,1.1,0.1,0.9,324.1,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Dryland Agriculture,1999,2559.5,0.8,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Dryland Agriculture,2009,2559.5,1.8,0.1,1,137.1,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Dryland Agriculture,2016,2559.5,1.3,0,-0.5,-30.4,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Dryland Agriculture,2021,2569.8,1.2,0,-0.1,-5,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Dryland Agriculture,1999,2772.1,1.8,0.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Dryland Agriculture,2009,2772.1,49.7,1.8,47.9,2704.1,2009 to 1999
Mackay Whitsunday Isaac,Proserpine,Proserpine,Dryland Agriculture,2016,2772.1,5.9,0.2,-43.8,-88.2,2016 to 2009
Mackay Whitsunday Isaac,Proserpine,Proserpine,Dryland Agriculture,2021,2771.6,3,0.1,-2.8,-48.4,2021 to 2016
Wet Tropics,Barron,Barron,Dryland Agriculture,1999,2381.9,73,3.1,0,0,1999 to 1999
Wet Tropics,Barron,Barron,Dryland Agriculture,2009,2368.8,73.8,3.1,0.8,1.1,2009 to 1999
Wet Tropics,Barron,Barron,Dryland Agriculture,2015,2385.5,64.9,2.7,-8.9,-12.1,2015 to 2009
Wet Tropics,Barron,Barron,Dryland Agriculture,2021,2193.2,74.3,3.4,9.5,14.6,2021 to 2015
Wet Tropics,Daintree,Daintree,Dryland Agriculture,1999,2123.2,44.2,2.1,0,0,1999 to 1999
Wet Tropics,Daintree,Daintree,Dryland Agriculture,2009,2120.5,41.7,2,-2.5,-5.6,2009 to 1999
Wet Tropics,Daintree,Daintree,Dryland Agriculture,2015,2115.6,40.4,1.9,-1.3,-3.1,2015 to 2009
Wet Tropics,Daintree,Daintree,Dryland Agriculture,2021,2104.6,38.2,1.8,-2.2,-5.4,2021 to 2015
Wet Tropics,Herbert,Herbert,Dryland Agriculture,1999,10003.4,665.9,6.7,0,0,1999 to 1999
Wet Tropics,Herbert,Herbert,Dryland Agriculture,2009,9996.8,691.8,6.9,26,3.9,2009 to 1999
Wet Tropics,Herbert,Herbert,Dryland Agriculture,2015,9952.5,662.7,6.7,-29.1,-4.2,2015 to 2009
Wet Tropics,Herbert,Herbert,Dryland Agriculture,2021,9873.2,674.6,6.8,11.9,1.8,2021 to 2015
Wet Tropics,Johnstone,Johnstone,Dryland Agriculture,1999,2460.7,360.1,14.6,0,0,1999 to 1999
Wet Tropics,Johnstone,Johnstone,Dryland Agriculture,2009,2457.4,318.2,12.9,-41.9,-11.6,2009 to 1999
Wet Tropics,Johnstone,Johnstone,Dryland Agriculture,2015,2456.4,293.8,12,-24.4,-7.7,2015 to 2009
Wet Tropics,Johnstone,Johnstone,Dryland Agriculture,2021,2317.8,308.1,13.3,14.3,4.9,2021 to 2015
Wet Tropics,Mossman,Mossman,Dryland Agriculture,1999,513.5,51.9,10.1,0,0,1999 to 1999
Wet Tropics,Mossman,Mossman,Dryland Agriculture,2009,498,47.8,9.6,-4.2,-8,2009 to 1999
Wet Tropics,Mossman,Mossman,Dryland Agriculture,2015,496,46.6,9.4,-1.1,-2.4,2015 to 2009
Wet Tropics,Mossman,Mossman,Dryland Agriculture,2021,465.4,44.5,9.6,-2.1,-4.6,2021 to 2015
Wet Tropics,Mulgrave,Mulgrave,Dryland Agriculture,1999,1333.4,173.2,13,0,0,1999 to 1999
Wet Tropics,Mulgrave,Mulgrave,Dryland Agriculture,2009,1333.7,165.8,12.4,-7.4,-4.3,2009 to 1999
Wet Tropics,Mulgrave,Mulgrave,Dryland Agriculture,2015,1333.4,161.8,12.1,-4,-2.4,2015 to 2009
Wet Tropics,Mulgrave,Mulgrave,Dryland Agriculture,2021,1319.7,154.8,11.7,-7,-4.3,2021 to 2015
Wet Tropics,Murray,Murray,Dryland Agriculture,1999,1539.4,218.7,14.2,0,0,1999 to 1999
Wet Tropics,Murray,Murray,Dryland Agriculture,2009,1537.4,235,15.3,16.3,7.5,2009 to 1999
Wet Tropics,Murray,Murray,Dryland Agriculture,2015,1538,236.9,15.4,1.9,0.8,2015 to 2009
Wet Tropics,Murray,Murray,Dryland Agriculture,2021,1524.4,245.7,16.1,8.7,3.7,2021 to 2015
Wet Tropics,Russell,Russell,Dryland Agriculture,1999,718.7,115.1,16,0,0,1999 to 1999
Wet Tropics,Russell,Russell,Dryland Agriculture,2009,695.9,105.3,15.1,-9.7,-8.5,2009 to 1999
Wet Tropics,Russell,Russell,Dryland Agriculture,2015,696.3,99.7,14.3,-5.7,-5.4,2015 to 2009
Wet Tropics,Russell,Russell,Dryland Agriculture,2021,670.6,96.2,14.3,-3.5,-3.5,2021 to 2015
Wet Tropics,Tully,Tully,Dryland Agriculture,1999,1718.8,215.7,12.5,0,0,1999 to 1999
Wet Tropics,Tully,Tully,Dryland Agriculture,2009,1712.6,222.4,13,6.7,3.1,2009 to 1999
Wet Tropics,Tully,Tully,Dryland Agriculture,2015,1713.5,209.7,12.2,-12.7,-5.7,2015 to 2009
Wet Tropics,Tully,Tully,Dryland Agriculture,2021,1684.7,214.4,12.7,4.7,2.2,2021 to 2015
Burdekin,Burdekin,Belyando,Forestry,1999,36777.9,468.4,1.3,0,0,1999 to 1999
Burdekin,Burdekin,Belyando,Forestry,2009,37000.2,468.4,1.3,-0,-0,2009 to 1999
Burdekin,Burdekin,Belyando,Forestry,2016,36069.3,468.4,1.3,0,0,2016 to 2009
Burdekin,Burdekin,Belyando,Forestry,2021,35439,468.9,1.3,0.5,0.1,2021 to 2016
Burdekin,Burdekin,Broke Bogie,Forestry,1999,12006.2,277.7,2.3,0,0,1999 to 1999
Burdekin,Burdekin,Broke Bogie,Forestry,2009,12202.7,277.7,2.3,0,0,2009 to 1999
Burdekin,Burdekin,Broke Bogie,Forestry,2016,12233.3,207.5,1.7,-70.2,-25.3,2016 to 2009
Burdekin,Burdekin,Broke Bogie,Forestry,2021,11728.8,207.9,1.8,0.4,0.2,2021 to 2016
Burdekin,Burdekin,Upper Burdekin,Forestry,1999,40700.5,444.6,1.1,0,0,1999 to 1999
Burdekin,Burdekin,Upper Burdekin,Forestry,2009,40700.4,79.3,0.2,-365.2,-82.2,2009 to 1999
Burdekin,Burdekin,Upper Burdekin,Forestry,2016,40960.1,79.3,0.2,-0,-0,2016 to 2009
Burdekin,Burdekin,Upper Burdekin,Forestry,2021,40508.9,79.2,0.2,-0.1,-0.1,2021 to 2016
Burdekin,Haughton,Haughton,Forestry,1999,4159.6,32.6,0.8,0,0,1999 to 1999
Burdekin,Haughton,Haughton,Forestry,2009,4159.8,32.6,0.8,0,0,2009 to 1999
Burdekin,Haughton,Haughton,Forestry,2016,4157.3,32.6,0.8,0,0,2016 to 2009
Burdekin,Haughton,Haughton,Forestry,2021,4068.8,32.6,0.8,0,0,2021 to 2016
Dry Tropics,Black,Black River,Forestry,1999,305.5,13.2,4.3,0,0,1999 to 1999
Dry Tropics,Black,Black River,Forestry,2009,305,13.2,4.3,-0.1,-0.5,2009 to 1999
Dry Tropics,Black,Black River,Forestry,2016,305.1,13.2,4.3,0,0,2016 to 2009
Dry Tropics,Black,Black River,Forestry,2021,301.7,13.2,4.4,-0,-0,2021 to 2016
Dry Tropics,Black,Bluewater Creek,Forestry,1999,296.6,13.6,4.6,0,0,1999 to 1999
Dry Tropics,Black,Bluewater Creek,Forestry,2009,296.4,10.5,3.5,-3.2,-23.3,2009 to 1999
Dry Tropics,Black,Bluewater Creek,Forestry,2016,296.9,10.5,3.5,0,0,2016 to 2009
Dry Tropics,Black,Bluewater Creek,Forestry,2021,291.7,10.5,3.6,0,0,2021 to 2016
Dry Tropics,Black,Crystal Creek,Forestry,1999,239.9,48.2,20.1,0,0,1999 to 1999
Dry Tropics,Black,Crystal Creek,Forestry,2009,239.9,0,0,-48.1,-99.9,2009 to 1999
Dry Tropics,Black,Crystal Creek,Forestry,2016,239.7,0,0,0,0,2016 to 2009
Dry Tropics,Black,Crystal Creek,Forestry,2021,239.1,0,0,-0,-0,2021 to 2016
Dry Tropics,Black,Paluma Lake,Forestry,1999,5.1,0.3,6.7,0,0,1999 to 1999
Dry Tropics,Black,Paluma Lake,Forestry,2009,5.1,0.3,6,-0,-11.2,2009 to 1999
Dry Tropics,Black,Paluma Lake,Forestry,2016,5.1,0.3,6,0,0,2016 to 2009
Dry Tropics,Black,Paluma Lake,Forestry,2021,5.1,0.3,6,0,0,2021 to 2016
Dry Tropics,Black,Rollingstone Creek,Forestry,1999,224.2,131.4,58.6,0,0,1999 to 1999
Dry Tropics,Black,Rollingstone Creek,Forestry,2009,224.2,54.2,24.2,-77.2,-58.8,2009 to 1999
Dry Tropics,Black,Rollingstone Creek,Forestry,2016,224.3,54.1,24.1,-0.1,-0.1,2016 to 2009
Dry Tropics,Black,Rollingstone Creek,Forestry,2021,222,54.1,24.4,-0,-0,2021 to 2016
Dry Tropics,Ross,Ross River (Upper),Forestry,1999,765.7,45,5.9,0,0,1999 to 1999
Dry Tropics,Ross,Ross River (Upper),Forestry,2009,768,45,5.9,0,0,2009 to 1999
Dry Tropics,Ross,Ross River (Upper),Forestry,2016,768.7,45,5.8,0,0,2016 to 2009
Dry Tropics,Ross,Ross River (Upper),Forestry,2021,761.3,45,5.9,-0,-0,2021 to 2016
Mackay Whitsunday Isaac,Don,Don,Forestry,1999,3922.2,0.2,0,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,Don,Forestry,2009,3874.2,0.2,0,0,0,2009 to 1999
Mackay Whitsunday Isaac,Don,Don,Forestry,2016,3867.1,0.2,0,0,0,2016 to 2009
Mackay Whitsunday Isaac,Don,Don,Forestry,2021,3752.8,0.2,0,0,0,2021 to 2016
Mackay Whitsunday Isaac,O'Connell,O'Connell,Forestry,1999,2445.9,197.4,8.1,0,0,1999 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Forestry,2009,2445.9,167.4,6.8,-30,-15.2,2009 to 1999
Mackay Whitsunday Isaac,O'Connell,O'Connell,Forestry,2016,2445.9,158.4,6.5,-9,-5.4,2016 to 2009
Mackay Whitsunday Isaac,O'Connell,O'Connell,Forestry,2021,2446,149.1,6.1,-9.3,-5.9,2021 to 2016
Mackay Whitsunday Isaac,Pioneer,Pioneer,Forestry,1999,1571.1,365.2,23.2,0,0,1999 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Forestry,2009,1571.1,373,23.7,7.8,2.1,2009 to 1999
Mackay Whitsunday Isaac,Pioneer,Pioneer,Forestry,2016,1571.1,297.1,18.9,-75.9,-20.4,2016 to 2009
Mackay Whitsunday Isaac,Pioneer,Pioneer,Forestry,2021,1574.7,297.7,18.9,0.6,0.2,2021 to 2016
Mackay Whitsunday Isaac,Plane,Plane,Forestry,1999,2559.5,121.5,4.7,0,0,1999 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Forestry,2009,2559.5,107.7,4.2,-13.9,-11.4,2009 to 1999
Mackay Whitsunday Isaac,Plane,Plane,Forestry,2016,2559.5,146.4,5.7,38.7,36,2016 to 2009
Mackay Whitsunday Isaac,Plane,Plane,Forestry,2021,2569.8,148.4,5.8,1.9,1.3,2021 to 2016
Mackay Whitsunday Isaac,Proserpine,Proserpine,Forestry,1999,2772.1,251.9,9.1,0,0,1999 to 1999
