Region,Basin,SubBasin,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
Wet Tropics,Mossman,NA,Urban/Intensive,1999,513.5,25.7,5,0,0,1999 to 1999
Wet Tropics,Mossman,NA,Urban/Intensive,2009,498,29.6,6,4,15.4,2009 to 1999
Wet Tropics,Mossman,NA,Urban/Intensive,2015,496,31.1,6.3,1.4,4.8,2015 to 2009
Wet Tropics,Mossman,NA,Urban/Intensive,2021,465.4,33.1,7.1,2.1,6.7,2021 to 2015
Wet Tropics,Mulgrave,NA,Urban/Intensive,1999,1333.4,74.3,5.6,0,0,1999 to 1999
Wet Tropics,Mulgrave,NA,Urban/Intensive,2009,1333.7,82.4,6.2,8.1,10.9,2009 to 1999
Wet Tropics,Mulgrave,NA,Urban/Intensive,2015,1333.4,84.7,6.4,2.3,2.8,2015 to 2009
Wet Tropics,Mulgrave,NA,Urban/Intensive,2021,1319.7,87.6,6.6,2.9,3.4,2021 to 2015
Wet Tropics,Murray,NA,Urban/Intensive,1999,1539.4,36.5,2.4,0,0,1999 to 1999
Wet Tropics,Murray,NA,Urban/Intensive,2009,1537.4,31.7,2.1,-4.8,-13,2009 to 1999
Wet Tropics,Murray,NA,Urban/Intensive,2015,1538,26.5,1.7,-5.3,-16.6,2015 to 2009
Wet Tropics,Murray,NA,Urban/Intensive,2021,1524.4,18.2,1.2,-8.2,-31.1,2021 to 2015
Wet Tropics,Russell,NA,Urban/Intensive,1999,718.7,17.5,2.4,0,0,1999 to 1999
Wet Tropics,Russell,NA,Urban/Intensive,2009,695.9,20.7,3,3.2,18.4,2009 to 1999
Wet Tropics,Russell,NA,Urban/Intensive,2015,696.3,21.8,3.1,1.1,5.1,2015 to 2009
Wet Tropics,Russell,NA,Urban/Intensive,2021,670.6,10.1,1.5,-11.7,-53.6,2021 to 2015
Wet Tropics,Tully,NA,Urban/Intensive,1999,1718.8,71.1,4.1,0,0,1999 to 1999
Wet Tropics,Tully,NA,Urban/Intensive,2009,1712.6,83.7,4.9,12.7,17.8,2009 to 1999
Wet Tropics,Tully,NA,Urban/Intensive,2015,1713.5,80.7,4.7,-3,-3.6,2015 to 2009
Wet Tropics,Tully,NA,Urban/Intensive,2021,1684.7,25.3,1.5,-55.5,-68.7,2021 to 2015
Burdekin,Burdekin,NA,Water,1999,133517.7,2590.1,1.9,0,0,1999 to 1999
Burdekin,Burdekin,NA,Water,2009,134012.4,2598,1.9,7.9,0.3,2009 to 1999
Burdekin,Burdekin,NA,Water,2016,133233.2,2598.9,2,0.9,0,2016 to 2009
Burdekin,Burdekin,NA,Water,2021,130114.9,2605.2,2,6.3,0.2,2021 to 2016
Burdekin,Haughton,NA,Water,1999,4159.6,334.6,8,0,0,1999 to 1999
Burdekin,Haughton,NA,Water,2009,4159.8,333.3,8,-1.3,-0.4,2009 to 1999
Burdekin,Haughton,NA,Water,2016,4157.3,326.5,7.9,-6.8,-2,2016 to 2009
Burdekin,Haughton,NA,Water,2021,4068.8,304.7,7.5,-21.8,-6.7,2021 to 2016
Dry Tropics,Black,NA,Water,1999,1157.6,32.1,2.8,0,0,1999 to 1999
Dry Tropics,Black,NA,Water,2009,1156.8,30.6,2.6,-1.5,-4.5,2009 to 1999
Dry Tropics,Black,NA,Water,2016,1157.4,30.7,2.6,0,0.1,2016 to 2009
Dry Tropics,Black,NA,Water,2021,1145.9,29.4,2.6,-1.3,-4.1,2021 to 2016
Dry Tropics,Ross,NA,Water,1999,1776.5,140.3,7.9,0,0,1999 to 1999
Dry Tropics,Ross,NA,Water,2009,1780.1,139.6,7.8,-0.7,-0.5,2009 to 1999
Dry Tropics,Ross,NA,Water,2016,1777,138.1,7.8,-1.6,-1.1,2016 to 2009
Dry Tropics,Ross,NA,Water,2021,1756.2,137.6,7.8,-0.5,-0.3,2021 to 2016
Mackay Whitsunday Isaac,Don,NA,Water,1999,3922.2,299.7,7.6,0,0,1999 to 1999
Mackay Whitsunday Isaac,Don,NA,Water,2009,3874.2,302.1,7.8,2.4,0.8,2009 to 1999
Mackay Whitsunday Isaac,Don,NA,Water,2016,3867.1,304.2,7.9,2.1,0.7,2016 to 2009
