Zone,Reef,Program,Composition_Score,Coral_Cover_Score,Cover_Change_Score,Juv_Score,MA_Score,Index_Score,Composition_Grade,Coral_Cover_Grade,Cover_Change_Grade,Juv_Grade,MA_Grade,Index_Grade
Cleveland Bay,Geoffrey Bay,MMP RCA,75,48,56,20,0,40,B,C,C,E,E,D
Cleveland Bay,Alma Bay,RCA,NA,68,NA,NA,NA,NA,NA,B,NA,NA,NA,NA
Cleveland Bay,Florence Bay,RCA,NA,34,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
Cleveland Bay,Middle Reef,RCA,NA,83,NA,NA,NA,NA,NA,A,NA,NA,NA,NA
Cleveland Bay,Nelly Bay,RCA,NA,36,NA,NA,NA,NA,NA,D,NA,NA,NA,NA
Cleveland Bay,Cleveland Bay,MMP RCA,75,51,56,20,0,41,B,C,C,E,E,C
Halifax Bay,Palms East,MMP,100,64,46,19,93,64,A,B,C,E,A,B
Halifax Bay,Palms West,MMP,0,47,60,43,100,50,E,C,C,C,A,C
Halifax Bay,Pandora,MMP,75,28,51,29,16,40,B,D,C,D,E,D
Halifax Bay,Havannah,MMP,50,50,51,23,0,35,C,C,C,D,E,D
Halifax Bay,Pandora North,LTMP,0,74,26,53,0,31,E,B,D,C,E,D
Halifax Bay,Havannah North,LTMP,100,17,50,88,0,51,A,E,C,A,E,C
Halifax Bay,Halifax Bay,MMP LTMP,54,47,47,43,35,45,C,C,C,C,D,C
