Region,Basin,LayerName,MonthlyMeanRainfall,LayerDate,Year,Month,Fyear,AnnualMeanRainfall,AnnualLtm,monthly_ltm,MonthlyMeanRainfallPercentileRank,AnnualMeanRainfallPercentileRank,annual_anomaly,monthly_anomaly,annual_percentage_of_ltm,monthly_percentage_of_ltm
Burdekin,Burdekin,n3_rainfall_1003,2,1994-07-31,1994,Jul,1995,345,628,18,21,3,-283,-16,54.9,11.1
Burdekin,Burdekin,n3_rainfall_1004,0,1994-08-31,1994,Aug,1995,345,628,14,0,3,-283,-14,54.9,0
Burdekin,Burdekin,n3_rainfall_1005,3,1994-09-30,1994,Sep,1995,345,628,12,45,3,-283,-9,54.9,25
Burdekin,Burdekin,n3_rainfall_1006,11,1994-10-31,1994,Oct,1995,345,628,24,28,3,-283,-13,54.9,45.8
Burdekin,Burdekin,n3_rainfall_1007,10,1994-11-30,1994,Nov,1995,345,628,52,14,3,-283,-42,54.9,19.2
Burdekin,Burdekin,n3_rainfall_1008,26,1994-12-31,1994,Dec,1995,345,628,83,10,3,-283,-57,54.9,31.3
Burdekin,Burdekin,n3_rainfall_1009,72,1995-01-31,1995,Jan,1995,345,628,138,21,3,-283,-66,54.9,52.2
Burdekin,Burdekin,n3_rainfall_1010,158,1995-02-28,1995,Feb,1995,345,628,142,66,3,-283,16,54.9,111.3
Burdekin,Burdekin,n3_rainfall_1011,31,1995-03-31,1995,Mar,1995,345,628,70,34,3,-283,-39,54.9,44.3
Burdekin,Burdekin,n3_rainfall_1012,11,1995-04-30,1995,Apr,1995,345,628,29,41,3,-283,-18,54.9,37.9
Burdekin,Burdekin,n3_rainfall_1013,19,1995-05-31,1995,May,1995,345,628,22,62,3,-283,-3,54.9,86.4
Burdekin,Burdekin,n3_rainfall_1014,2,1995-06-30,1995,Jun,1995,345,628,23,7,3,-283,-21,54.9,8.7
Burdekin,Burdekin,n3_rainfall_1015,3,1995-07-31,1995,Jul,1996,497,628,18,31,33,-131,-15,79.1,16.7
Burdekin,Burdekin,n3_rainfall_1016,54,1995-08-31,1995,Aug,1996,497,628,14,93,33,-131,40,79.1,385.7
